0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
202;411;259;511;355;705;444;907;549;1102;638;1296
202;417;252;511;348;712;444;907;549;1101;645;1297
203;418;253;519;348;712;446;904;547;1101;645;1296
204;416;252;519;347;712;445;907;547;1102;645;1297
202;408;254;517;350;710;453;906;540;1103;643;1298
209;408;254;509;349;703;451;906;542;1108;636;1306
202;410;259;510;355;704;451;907;542;1101;638;1303
202;410;252;511;348;711;444;906;549;1101;646;1295
202;417;252;519;347;712;444;904;548;1101;646;1296
204;416;253;519;348;712;445;907;547;1101;645;1296
204;409;254;516;350;710;453;907;540;1103;644;1298
209;409;254;509;349;702;451;907;542;1101;636;1305
202;411;259;509;355;705;444;907;549;1101;638;1296
202;417;252;512;347;711;444;906;549;1102;645;1296
202;416;252;519;347;712;445;899;540;1101;643;1298
209;409;254;509;350;703;451;907;542;1102;636;1305
202;408;260;509;357;704;451;906;541;1101;637;1303
202;411;253;512;355;712;444;906;549;1101;646;1296
202;418;252;519;348;711;444;905;549;1101;645;1296
204;416;252;519;347;712;446;906;548;1101;646;1296
204;416;252;519;348;712;446;899;540;1101;643;1298
210;409;254;517;350;710;453;907;540;1104;643;1298
209;409;259;512;355;712;444;904;547;1102;646;1296
204;409;253;509;350;703;452;907;542;1101;636;1305
202;418;253;519;348;709;453;899;540;1101;643;1297
209;409;260;509;358;704;451;906;541;1102;638;1303
202;411;252;512;348;712;444;906;549;1101;645;1296
202;416;253;520;348;712;445;907;547;1101;645;1296
204;409;255;517;350;710;453;906;540;1103;643;1297
202;411;260;510;355;704;451;906;542;1101;637;1303
202;411;252;511;355;712;444;906;549;1101;645;1295
202;418;253;518;348;711;443;904;547;1101;645;1296
204;416;252;519;348;712;446;899;539;1101;643;1298
210;409;254;517;350;709;453;907;540;1103;643;1298
209;408;255;509;357;704;451;906;541;1108;636;1304
202;411;260;509;357;704;451;906;542;1101;638;1303
202;409;252;510;355;705;444;906;549;1101;638;1296
202;418;252;519;348;712;446;905;547;1101;645;1296
204;416;252;519;348;712;446;900;540;1101;644;1297
209;408;255;517;350;710;453;907;540;1104;643;1298
202;410;259;509;355;705;444;907;549;1102;638;1296
203;418;253;512;348;712;444;906;549;1101;646;1296
202;416;252;518;348;712;445;899;540;1102;643;1298
209;409;255;509;350;703;451;906;542;1101;636;1304
202;411;259;510;357;705;451;907;542;1101;638;1303
202;411;252;511;355;712;444;907;549;1101;645;1296
202;416;252;519;347;712;446;906;547;1101;645;1296
204;409;253;517;350;709;453;899;539;1103;644;1298
209;409;262;509;350;702;451;908;542;1101;636;1305
202;411;259;510;357;704;451;907;542;1101;638;1303
202;411;253;512;355;712;444;908;549;1101;645;1295
202;418;253;512;348;711;444;906;550;1101;645;1296
202;416;253;519;348;712;446;908;547;1101;645;1296
204;408;252;517;348;710;446;899;539;1101;643;1298
209;409;254;517;349;710;454;907;540;1103;643;1298
209;408;254;509;349;703;451;906;542;1101;636;1305
202;411;260;509;355;705;452;906;542;1101;637;1303
202;410;252;512;355;711;443;907;549;1101;638;1296
202;417;252;512;348;713;444;907;549;1101;645;1296
202;416;252;519;348;712;446;904;547;1101;646;1296
204;416;253;519;347;713;446;900;540;1101;644;1298
209;409;254;510;350;702;451;906;541;1101;636;1305
202;411;260;510;356;705;444;907;549;1101;637;1296
202;418;252;519;348;712;446;907;547;1101;645;1296
204;416;252;520;347;712;446;899;539;1101;643;1298
209;409;255;510;357;702;451;907;542;1101;636;1304
202;410;260;512;355;712;443;907;549;1101;638;1296
202;416;252;519;348;712;446;905;547;1101;645;1296
204;409;253;516;349;710;453;906;540;1103;643;1297
210;409;260;510;357;704;451;907;542;1101;638;1304
203;418;252;519;348;712;444;904;547;1101;645;1296
204;416;253;519;348;712;446;907;547;1101;645;1296
204;409;254;510;350;703;451;906;542;1101;636;1305
202;411;259;511;355;705;443;907;549;1101;638;1296
202;418;252;518;347;712;446;905;547;1101;645;1296
205;416;252;519;348;712;445;907;547;1101;646;1296
204;409;254;517;350;709;453;907;540;1103;644;1298
209;408;254;510;357;704;451;906;542;1109;636;1303
202;411;259;512;355;712;444;906;549;1101;638;1295
202;418;253;511;348;712;444;906;549;1102;645;1296
203;416;253;518;348;712;445;904;547;1101;645;1296
204;416;252;519;348;711;445;899;539;1102;643;1298
209;408;254;510;357;704;444;906;549;1101;638;1295
202;418;253;519;347;712;446;905;548;1101;645;1295
204;416;252;518;347;711;446;906;548;1101;645;1296
204;409;254;517;350;710;453;907;539;1103;643;1298
209;408;254;509;357;702;451;906;542;1101;636;1305
203;411;260;509;355;704;444;908;549;1102;638;1296
202;418;252;511;348;712;444;907;549;1101;646;1296
202;416;252;519;348;712;446;899;540;1101;643;1297
210;409;254;517;350;710;453;906;540;1103;644;1297
209;409;255;510;349;702;452;906;542;1101;636;1305
202;409;259;510;357;704;451;907;541;1101;638;1303
202;411;252;512;354;713;444;907;549;1101;645;1296
202;418;252;519;347;711;444;904;550;1101;645;1296
204;416;253;519;347;713;445;900;540;1101;643;1298
209;409;254;517;350;710;453;906;540;1103;643;1297
202;411;260;510;356;704;451;906;542;1101;638;1303
203;411;252;512;355;712;444;907;549;1101;645;1295
202;417;252;511;348;712;444;906;549;1101;646;1296
202;418;252;519;348;712;444;904;549;1101;645;1296
204;416;252;519;347;712;446;899;540;1101;644;1298
209;409;254;517;349;710;452;906;540;1103;643;1298
210;409;254;510;357;703;451;906;542;1101;636;1305
202;410;260;509;355;705;443;906;549;1101;638;1296
202;419;252;519;348;712;444;906;549;1101;645;1296
204;416;253;518;348;711;446;907;547;1102;646;1296
204;417;252;519;348;712;446;899;540;1101;644;1298
210;409;254;509;350;703;451;907;542;1102;636;1305
202;411;259;510;357;705;451;907;542;1101;638;1303
202;411;252;512;355;712;444;907;549;1101;638;1297
202;418;253;519;348;711;444;907;549;1101;645;1296
204;409;255;517;350;710;453;907;540;1103;643;1298
202;411;260;510;357;705;451;906;542;1101;638;1303
202;418;252;512;355;712;444;907;549;1101;646;1296
202;418;252;511;348;711;444;906;550;1101;645;1295
202;416;252;519;347;712;446;907;547;1101;646;1296
204;409;253;517;348;710;446;899;540;1101;643;1298
209;409;254;509;350;702;451;906;541;1101;636;1305
202;409;260;510;357;705;451;907;541;1108;636;1303
202;411;260;512;355;704;444;906;549;1102;638;1296
203;418;253;511;348;711;444;906;549;1101;646;1296
202;416;253;519;348;712;446;905;547;1102;645;1296
204;416;252;518;347;712;446;900;540;1101;644;1298
209;409;255;510;350;703;451;906;542;1102;636;1305
202;411;260;510;355;705;451;907;542;1101;638;1303
202;411;253;512;355;712;444;906;550;1101;645;1295
202;418;253;519;347;712;444;907;549;1102;645;1295
202;416;253;519;348;712;446;904;548;1101;645;1296
204;416;253;519;348;712;445;899;540;1101;643;1298
209;409;254;517;349;710;453;907;540;1101;636;1305
202;411;260;510;357;704;451;906;542;1101;638;1303
202;411;252;512;355;711;444;908;549;1101;638;1296
202;418;252;512;347;712;443;906;549;1101;645;1296
203;416;253;518;348;711;446;905;547;1101;646;1296
204;416;252;519;348;712;446;899;540;1101;643;1297
209;409;254;517;349;710;454;907;539;1103;643;1298
202;408;259;510;357;705;451;906;541;1108;636;1305
202;411;260;509;355;705;452;906;542;1101;638;1303
202;411;252;511;355;711;443;906;549;1101;638;1296
202;418;253;512;347;712;443;906;549;1101;645;1296
204;416;252;519;348;712;446;907;547;1101;646;1296
204;416;253;519;348;712;446;900;540;1101;643;1298
209;409;254;517;350;710;453;906;540;1103;643;1297
209;409;254;509;350;702;451;907;542;1101;636;1305
202;410;260;509;357;704;451;907;542;1101;637;1303
202;410;252;512;356;712;444;907;549;1102;638;1295
202;418;252;511;348;712;444;906;549;1101;645;1296
202;416;252;520;348;711;445;905;547;1101;645;1295
204;416;252;518;347;712;446;906;547;1101;645;1296
204;408;255;518;348;710;453;899;540;1101;643;1297
209;409;255;517;349;710;453;906;539;1101;643;1297
202;409;261;509;357;704;451;906;542;1108;636;1303
202;411;260;510;355;705;451;906;542;1101;638;1303
202;410;252;511;355;711;444;907;549;1102;638;1296
202;418;252;512;348;711;444;906;549;1101;645;1296
202;416;253;518;348;712;446;905;547;1101;646;1296
204;416;252;519;348;712;445;906;547;1101;645;1296
204;409;253;517;348;710;453;899;540;1101;643;1297
209;409;255;517;350;710;453;907;540;1103;643;1298
202;409;259;509;357;705;451;907;542;1108;636;1303
202;411;259;509;355;704;452;906;541;1101;638;1303
202;410;252;511;355;712;443;906;549;1101;645;1296
203;418;253;512;348;712;444;907;549;1102;645;1296
204;415;252;518;348;711;446;906;547;1101;645;1295
204;416;253;519;347;712;446;899;540;1101;643;1299
209;409;255;517;350;710;453;906;539;1103;644;1297
203;409;259;510;357;705;451;907;542;1101;636;1306
202;410;259;510;355;705;451;907;542;1101;637;1303
202;410;253;512;355;711;444;907;549;1101;638;1295
202;418;252;512;348;712;444;907;549;1101;645;1296
202;416;252;519;348;712;446;905;547;1102;646;1296
204;416;252;519;348;712;446;906;547;1102;646;1296
204;416;253;519;348;712;445;899;540;1101;644;1297
209;409;255;517;349;710;452;906;540;1103;643;1298
209;409;254;509;350;703;451;907;542;1101;635;1305
202;411;260;509;357;704;451;906;542;1101;638;1303
202;411;252;512;355;712;444;907;549;1102;638;1296
202;418;252;512;347;712;444;907;549;1101;645;1295
202;416;253;519;348;711;445;905;547;1102;645;1296
204;416;252;519;347;712;446;907;547;1101;645;1296
204;408;252;517;347;710;446;899;540;1102;643;1298
209;409;254;510;350;702;451;907;542;1101;636;1305
203;411;260;509;357;704;451;906;541;1102;638;1303
202;411;259;512;355;704;444;906;549;1102;638;1296
202;416;253;509;357;705;451;907;541;1108;636;1303
202;410;252;512;355;712;444;907;549;1101;645;1296
203;416;253;519;347;712;446;908;547;1101;645;1296
204;409;254;517;349;710;453;906;540;1103;643;1298
209;408;260;509;357;703;452;907;542;1101;636;1305
202;410;260;509;356;705;451;907;542;1101;637;1303
202;411;252;511;355;713;444;907;549;1101;645;1296
203;418;252;519;348;712;444;905;549;1101;645;1296
204;416;253;519;348;712;446;899;540;1101;643;1298
209;409;254;510;350;702;451;907;542;1101;636;1305
202;410;259;512;356;705;443;907;549;1101;638;1296
202;418;252;512;347;712;443;906;549;1101;645;1296
202;418;252;520;348;712;444;904;547;1101;645;1296
204;416;252;518;348;712;446;906;547;1101;645;1296
204;416;252;520;347;712;446;899;540;1101;643;1298
209;408;254;517;349;710;453;906;540;1103;643;1298
210;408;255;510;349;703;451;906;542;1101;636;1305
202;411;260;510;356;705;451;906;542;1101;638;1303
202;411;253;512;355;712;444;907;549;1101;638;1295
202;417;253;511;348;711;444;906;549;1101;645;1295
202;418;252;519;348;712;443;904;547;1101;646;1296
204;416;252;519;348;712;445;906;547;1101;645;1295
204;409;253;516;348;710;453;899;540;1102;643;1297
210;409;254;516;350;710;453;907;540;1104;643;1297
202;408;260;510;357;705;451;906;542;1102;636;1303
202;411;260;510;355;705;451;907;542;1102;637;1304
202;411;253;512;355;712;443;906;549;1101;645;1295
202;417;253;511;347;712;444;906;549;1101;645;1297
202;416;252;519;348;711;446;904;547;1101;645;1296
204;416;252;519;347;712;446;906;547;1101;646;1297
204;408;252;517;348;710;446;899;539;1101;643;1298
209;409;254;517;350;710;453;907;540;1103;643;1298
210;412;260;510;355;705;443;906;549;1101;638;1296
202;418;252;519;348;712;446;907;547;1101;646;1296
204;409;254;516;349;710;453;906;540;1103;643;1298
202;410;259;510;357;705;451;907;542;1102;638;1303
202;411;253;512;355;712;444;906;549;1101;638;1296
202;418;253;511;355;712;443;906;549;1102;645;1295
202;418;253;518;348;712;444;906;549;1101;645;1296
202;416;252;519;348;712;445;907;547;1102;645;1296
204;416;252;519;348;712;445;899;540;1101;643;1298
209;409;254;517;350;710;453;906;540;1104;644;1298
209;409;254;510;350;702;451;907;542;1101;636;1305
202;411;260;510;357;704;451;907;542;1101;638;1303
202;411;253;512;355;712;444;906;549;1101;637;1296
202;417;252;512;355;711;444;907;550;1101;645;1295
202;418;253;511;348;712;443;906;549;1101;645;1296
202;416;252;519;348;712;446;904;548;1101;645;1296
204;416;252;519;348;712;446;900;540;1101;643;1297
209;409;254;517;350;710;453;907;540;1103;644;1298
210;409;255;510;350;703;451;907;542;1101;636;1305
202;411;260;510;357;705;451;907;542;1101;638;1303
202;411;253;512;355;712;444;906;549;1101;638;1296
202;417;253;511;348;712;443;907;549;1101;645;1295
202;417;253;519;348;712;446;904;547;1101;645;1296
204;416;253;519;347;712;445;907;547;1101;645;1296
204;409;253;517;347;712;446;899;540;1101;643;1297
209;409;254;516;349;710;454;906;540;1103;643;1297
210;408;255;510;350;703;451;907;542;1102;636;1305
202;411;260;510;356;705;452;906;542;1101;637;1303
203;411;252;511;355;712;444;906;550;1101;638;1295
202;418;252;511;347;712;444;906;549;1101;645;1296
202;416;253;518;348;711;446;904;547;1101;645;1296
204;416;253;519;348;713;446;906;547;1102;645;1296
204;409;252;517;348;710;453;900;540;1102;643;1298
209;409;254;517;350;711;453;907;540;1101;643;1298
202;409;259;510;357;705;451;907;542;1101;636;1305
203;411;260;509;358;704;451;906;542;1101;637;1303
202;411;253;512;355;712;444;906;549;1101;645;1295
202;418;252;511;347;711;444;906;549;1102;645;1296
202;416;252;518;348;712;446;906;547;1101;645;1295
204;408;255;518;348;710;453;899;540;1101;643;1297
209;409;255;517;350;710;453;907;540;1103;644;1298
203;408;260;509;357;704;451;906;541;1101;638;1303
202;410;252;511;355;712;444;906;549;1101;638;1296
202;419;252;511;348;712;443;907;549;1101;645;1296
202;418;252;519;347;712;445;904;547;1101;646;1296
204;417;253;519;348;712;445;906;547;1101;645;1296
202;408;254;517;350;710;453;907;540;1103;643;1298
210;409;254;510;350;702;451;906;541;1101;636;1305
203;408;260;509;357;705;451;906;542;1108;636;1303
202;411;260;509;355;704;444;906;549;1101;638;1296
202;418;252;511;355;712;444;906;549;1101;645;1296
202;418;252;519;348;712;443;906;549;1101;645;1296
204;416;252;519;347;712;446;905;547;1101;646;1297
204;408;252;517;348;710;453;899;540;1102;643;1298
209;409;255;517;349;710;453;906;540;1103;643;1298
202;408;260;510;357;704;451;906;542;1101;636;1304
202;411;260;509;357;704;451;906;541;1101;638;1304
202;411;253;511;355;712;444;907;549;1102;645;1296
202;417;252;512;347;712;443;906;549;1102;646;1296
203;418;252;519;348;711;444;906;549;1101;645;1296
202;416;253;518;348;712;445;905;547;1101;646;1296
204;416;252;519;348;712;446;907;547;1101;645;1296
204;416;253;518;348;711;446;899;540;1102;644;1298
209;408;254;510;357;705;451;907;542;1109;636;1303
202;411;260;510;355;705;451;907;542;1102;638;1303
202;418;253;519;347;712;444;904;547;1101;645;1295
204;409;253;516;350;709;453;899;540;1103;643;1298
210;409;254;509;350;703;451;907;542;1101;636;1304
202;408;260;510;357;704;451;907;542;1101;638;1303
202;410;252;511;355;712;444;906;549;1101;638;1295
202;418;253;512;348;712;444;906;550;1101;645;1296
202;416;252;519;348;712;446;905;547;1102;645;1296
204;415;252;519;348;712;446;907;548;1101;645;1296
204;409;252;516;348;710;453;899;540;1101;644;1297
209;409;255;517;350;710;453;907;540;1103;643;1297
209;408;254;510;350;703;451;906;541;1101;636;1305
202;408;260;510;357;704;451;907;541;1102;638;1303
202;410;252;511;355;712;444;906;549;1102;638;1295
202;418;253;512;348;712;444;907;549;1101;645;1296
202;416;252;518;348;711;446;904;547;1101;645;1296
204;416;253;518;348;711;446;908;548;1101;645;1295
204;409;253;516;348;710;446;900;540;1101;643;1298
209;409;254;517;350;710;454;906;539;1101;636;1305
202;408;259;510;357;704;451;906;542;1101;638;1303
202;410;252;511;355;712;444;907;549;1101;645;1295
202;418;252;512;347;712;443;907;549;1101;645;1296
202;416;252;519;348;712;445;904;547;1101;645;1295
204;416;253;518;347;712;446;900;540;1101;643;1297
209;409;254;517;350;710;453;907;540;1104;643;1298
209;409;254;509;350;703;451;907;542;1101;636;1305
202;409;259;510;358;705;451;907;542;1101;638;1303
202;410;253;512;355;712;444;907;549;1101;638;1296
202;417;253;512;348;712;444;907;549;1101;645;1295
202;416;253;518;348;711;446;905;548;1101;645;1296
204;416;252;520;348;712;446;907;547;1101;645;1296
204;408;252;517;348;712;445;899;540;1101;643;1298
209;409;254;518;349;710;453;907;540;1104;643;1298
209;409;254;510;349;702;451;906;542;1101;636;1305
202;412;261;509;357;704;451;907;542;1101;638;1303
202;411;252;512;355;711;444;907;549;1101;638;1296
202;419;252;512;347;712;444;907;549;1101;645;1296
203;416;253;519;348;712;445;905;547;1101;645;1296
204;417;252;519;348;712;446;906;547;1101;645;1295
204;409;253;517;348;712;446;900;540;1101;643;1297
211;409;255;517;350;709;453;906;540;1103;643;1297
203;409;259;509;356;705;451;907;542;1102;636;1305
202;411;260;510;355;705;451;907;542;1102;638;1303
203;410;252;511;355;712;444;907;549;1102;638;1297
202;418;252;511;348;712;443;906;549;1101;645;1296
202;416;252;519;348;712;446;904;547;1101;645;1296
204;416;253;519;348;712;446;900;540;1101;643;1297
209;409;254;517;350;710;453;907;540;1103;644;1299
202;408;260;509;357;704;451;906;541;1108;636;1303
202;411;259;510;355;705;451;907;542;1101;637;1304
202;411;259;510;355;704;444;906;549;1102;638;1296
202;418;253;512;348;712;444;906;549;1101;646;1296
202;418;252;519;347;712;443;904;547;1101;645;1296
204;416;252;519;347;712;446;907;547;1101;646;1296
204;416;252;519;348;712;446;899;539;1102;643;1298
209;409;254;517;350;710;453;907;540;1103;644;1298
209;409;255;509;349;703;451;906;542;1101;636;1305
202;412;259;510;357;705;451;906;542;1102;638;1303
202;410;253;511;355;712;444;906;549;1101;645;1296
202;418;252;511;348;711;444;907;549;1102;645;1296
202;409;255;509;355;711;443;905;547;1101;645;1296
204;416;252;519;347;712;446;907;548;1101;645;1296
204;409;254;517;350;710;453;907;540;1101;643;1298
202;411;260;512;354;704;444;907;549;1101;638;1295
202;418;252;518;348;712;446;907;547;1101;645;1296
204;409;255;516;350;710;454;907;540;1104;643;1298
209;408;254;510;349;702;451;907;542;1102;635;1304
202;408;259;509;357;704;451;906;541;1101;638;1303
202;411;259;512;355;705;444;906;549;1101;638;1296
202;417;253;512;348;712;444;907;549;1101;645;1295
202;416;253;519;347;712;444;904;547;1101;645;1296
204;409;254;516;350;711;453;907;540;1103;643;1297
202;411;252;511;355;712;444;906;549;1101;638;1296
202;416;252;520;348;712;446;907;547;1101;645;1296
204;409;254;517;350;709;453;906;539;1103;643;1298
209;408;260;509;357;704;451;906;542;1101;638;1303
202;418;252;511;348;711;444;906;549;1101;645;1296
202;417;252;519;348;712;446;907;547;1101;645;1296
204;408;254;517;350;710;453;906;540;1103;644;1298
210;409;260;510;356;704;451;906;541;1101;636;1305
202;411;260;509;355;704;451;906;542;1101;638;1304
202;418;253;512;348;712;444;906;549;1102;645;1296
202;416;252;519;348;712;446;907;547;1101;645;1297
204;409;254;517;350;710;453;907;540;1103;643;1298
209;409;259;510;357;705;451;907;542;1101;638;1303
202;418;253;512;348;712;444;906;549;1101;645;1296
202;416;253;518;348;711;446;906;547;1101;646;1296
204;416;252;519;347;712;445;899;540;1101;643;1298
209;409;262;510;356;704;451;906;542;1102;636;1305
202;411;253;512;355;712;444;906;549;1102;645;1296
202;416;252;519;348;712;446;905;547;1102;646;1296
204;409;254;517;349;710;453;907;540;1103;643;1298
209;409;259;509;357;705;451;906;542;1101;638;1303
202;410;253;512;355;711;444;906;549;1101;645;1296
202;416;252;519;348;712;446;907;548;1101;645;1296
204;409;254;517;349;710;453;899;540;1103;644;1298
209;409;260;509;356;704;451;907;542;1109;636;1303
202;411;252;511;355;712;444;907;549;1102;638;1296
202;418;253;511;348;711;444;907;549;1101;645;1295
202;415;253;518;348;711;446;906;547;1101;645;1296
204;409;255;517;349;709;453;906;540;1103;643;1298
209;408;260;509;357;704;451;906;542;1108;638;1303
202;411;253;511;355;713;444;906;549;1101;645;1296
202;416;252;519;348;712;446;905;547;1101;645;1295
204;409;255;517;349;710;453;906;540;1103;643;1297
202;410;260;509;355;704;451;906;541;1101;638;1303
202;417;252;512;348;712;444;907;549;1101;645;1296
202;415;253;519;348;711;444;904;547;1101;645;1295
204;416;252;520;347;712;445;907;547;1101;645;1296
204;409;254;517;349;710;453;906;540;1101;643;1298
202;410;261;511;355;705;444;906;549;1102;638;1295
202;416;253;519;348;712;445;906;547;1102;645;1296
204;409;254;517;349;710;453;907;540;1103;643;1298
209;410;259;511;355;704;444;907;549;1101;638;1297
202;418;253;518;348;712;446;905;547;1101;645;1296
204;415;252;519;348;712;446;906;547;1101;645;1296
202;409;255;516;348;710;453;899;540;1101;644;1298
210;409;254;517;350;710;453;907;540;1103;643;1299
209;408;255;510;350;703;451;907;542;1101;636;1305
202;409;260;509;357;705;451;906;542;1102;638;1304
202;410;252;512;355;711;443;906;549;1101;638;1296
202;417;253;511;348;712;444;906;549;1102;646;1296
202;418;253;519;348;711;444;906;549;1101;645;1295
204;416;253;519;348;712;446;906;547;1101;646;1296
204;416;252;519;347;712;446;907;547;1101;645;1296
204;409;255;517;348;710;446;899;540;1101;644;1297
209;408;254;517;350;710;453;906;540;1101;644;1298
202;409;260;509;357;704;451;906;542;1109;636;1303
202;411;259;510;355;705;451;907;542;1101;638;1303
202;410;253;511;355;711;444;906;549;1102;637;1296
202;418;252;512;348;712;444;906;549;1101;645;1296
202;415;253;519;348;712;444;905;547;1102;645;1296
204;416;252;519;348;712;446;907;547;1101;645;1296
204;416;252;519;348;712;445;899;539;1102;643;1298
209;409;255;517;350;709;452;906;540;1103;644;1298
209;408;254;509;350;702;451;906;541;1102;636;1305
202;410;260;509;357;705;451;906;542;1101;638;1303
202;410;252;511;355;711;443;906;550;1101;638;1296
202;418;252;512;348;712;443;906;549;1101;645;1296
202;416;253;518;348;711;444;905;548;1101;645;1296
204;416;252;519;347;712;446;907;547;1101;646;1296
204;416;252;519;348;712;446;899;540;1101;643;1297
209;408;254;517;349;709;453;906;540;1103;643;1297
209;409;254;509;350;702;451;908;542;1101;636;1305
202;410;260;510;355;705;451;907;542;1101;638;1303
202;411;252;512;355;712;444;907;549;1101;638;1295
202;418;252;512;347;712;444;906;550;1101;645;1296
202;416;253;519;348;712;444;905;547;1101;645;1296
204;416;253;519;348;711;445;906;547;1101;645;1296
204;416;253;519;348;711;446;900;540;1102;643;1297
209;409;254;510;350;703;451;907;542;1101;636;1304
202;411;260;510;357;705;452;907;542;1101;637;1303
202;411;252;512;355;711;444;906;549;1101;645;1295
202;417;252;511;348;712;443;906;549;1101;645;1296
204;416;252;519;348;712;446;906;547;1101;646;1296
204;416;252;519;347;712;445;906;547;1101;645;1296
204;409;254;517;348;710;453;899;539;1102;643;1297
209;408;254;516;350;710;453;907;540;1103;644;1298
209;408;254;509;350;703;451;906;542;1101;636;1304
202;411;260;510;358;705;451;907;542;1101;638;1303
202;411;252;511;355;711;444;906;550;1101;645;1296
202;418;253;511;348;712;444;906;549;1101;645;1295
202;416;252;519;348;712;445;904;547;1102;645;1296
204;416;252;519;348;711;446;899;540;1101;644;1298
209;411;260;511;348;712;445;906;547;1101;645;1296
204;409;254;517;348;710;453;900;540;1101;643;1297
209;409;254;517;350;710;453;906;540;1103;644;1298
210;409;254;510;350;703;451;907;542;1101;636;1305
202;418;253;518;347;712;444;904;547;1101;646;1297
204;408;255;517;349;710;453;906;539;1103;643;1298
209;409;254;509;350;702;451;907;542;1101;636;1305
202;411;260;512;355;712;444;906;549;1101;638;1296
202;418;252;519;348;712;444;905;547;1102;646;1296
204;415;253;518;348;712;446;906;547;1101;645;1296
203;408;254;517;347;710;446;900;540;1101;644;1298
209;409;255;511;354;712;446;906;547;1101;645;1296
204;408;254;517;349;710;452;899;539;1102;644;1298
209;409;254;510;350;703;451;907;542;1101;636;1303
202;410;260;511;355;704;444;907;550;1102;638;1296
202;418;252;518;348;712;444;905;549;1101;645;1296
204;416;252;519;348;712;446;907;548;1101;645;1295
204;416;253;519;348;712;446;906;547;1101;645;1295
204;409;255;517;350;705;451;908;542;1101;638;1303
202;416;253;519;348;712;446;900;540;1101;643;1298
209;409;255;509;349;702;451;906;541;1101;636;1305
202;410;259;509;355;704;451;906;542;1102;638;1303
202;410;253;511;354;713;444;907;549;1101;637;1296
202;418;252;512;348;712;444;907;549;1101;645;1296
202;416;252;518;348;713;445;899;540;1101;643;1298
209;408;255;509;350;702;451;906;542;1101;636;1305
202;411;260;509;358;704;451;907;542;1101;638;1303
203;418;252;511;347;712;444;907;549;1101;645;1295
202;416;252;519;348;711;446;899;540;1102;643;1297
