0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
169;341;175;352;181;363;191;384;261;533;408;810;643;1284;1110;2233;2101;4210
170;342;175;352;180;363;191;384;261;532;408;809;643;1283;1109;2234;2101;4209
170;341;175;352;180;362;191;384;262;532;408;810;636;1284;1110;2233;2102;4209
169;342;173;352;178;365;189;386;262;533;401;817;636;1290;1109;2226;2103;4209
167;343;173;354;178;365;188;386;260;525;403;817;636;1291;1110;2226;2102;4212
168;343;173;354;185;364;196;385;260;527;403;818;643;1284;1112;2226;2101;4211
175;343;180;354;185;364;196;386;267;527;403;815;643;1284;1109;2227;2102;4209
167;341;173;352;179;363;189;384;268;527;401;815;641;1286;1110;2228;2101;4209
168;349;173;359;178;370;189;391;259;527;408;817;641;1285;1117;2226;2101;4216
168;348;173;359;178;370;189;391;259;532;408;817;641;1283;1109;2227;2101;4216
169;341;174;352;180;362;191;391;261;532;408;809;643;1284;1110;2232;2102;4209
169;342;174;352;181;362;190;384;261;534;408;810;643;1284;1110;2233;2101;4209
169;341;174;352;180;362;191;384;261;532;408;809;643;1283;1110;2233;2101;4210
169;341;174;352;180;362;190;391;261;533;408;810;643;1284;1109;2233;2101;4209
169;341;175;352;180;362;190;391;261;532;408;810;643;1284;1109;2233;2101;4209
169;341;175;352;180;363;191;391;262;533;408;810;643;1284;1110;2233;2101;4209
170;341;175;352;180;362;191;391;262;532;408;810;636;1283;1110;2233;2101;4209
170;342;173;352;178;365;189;384;262;532;401;810;636;1291;1109;2233;2103;4209
168;343;172;354;178;365;189;386;259;525;403;816;636;1291;1109;2225;2101;4210
168;343;173;353;185;364;196;385;259;528;402;817;643;1283;1110;2226;2101;4210
175;341;181;352;186;362;196;386;267;527;403;815;642;1284;1109;2227;2109;4210
167;348;173;359;178;370;189;391;260;527;408;817;641;1286;1110;2226;2102;4209
167;348;173;359;178;370;189;391;259;532;408;817;641;1285;1117;2226;2101;4216
168;348;173;359;180;370;189;391;260;533;409;817;641;1286;1110;2225;2102;4216
167;349;175;352;180;363;191;391;261;532;408;809;643;1284;1110;2233;2101;4209
169;341;175;352;180;363;191;384;261;533;408;809;643;1283;1109;2233;2102;4209
169;341;175;352;180;362;191;384;262;533;408;809;643;1283;1110;2233;2101;4209
169;341;175;352;180;362;191;391;261;533;409;810;643;1283;1110;2233;2101;4208
169;341;175;352;180;362;191;384;261;532;408;809;643;1283;1110;2233;2101;4210
170;341;175;352;180;363;191;384;262;533;408;810;643;1284;1110;2233;2102;4209
169;341;174;352;180;363;191;384;261;532;408;809;636;1284;1110;2233;2101;4208
169;342;175;352;178;363;191;384;261;533;401;810;636;1291;1110;2226;2103;4208
168;343;173;353;178;364;189;386;260;525;403;817;636;1291;1112;2226;2102;4211
167;344;180;354;186;365;196;386;259;527;402;817;643;1284;1109;2226;2101;4211
175;342;180;352;186;363;196;386;266;527;402;815;641;1283;1110;2227;2109;4209
168;348;173;360;179;370;189;391;259;527;408;817;641;1285;1117;2226;2101;4216
168;349;173;359;178;371;189;391;260;533;408;817;643;1284;1110;2225;2102;4217
170;341;175;352;180;363;191;391;262;532;408;810;643;1284;1110;2233;2102;4209
169;341;175;352;180;363;190;391;261;532;408;810;643;1283;1110;2233;2101;4209
169;342;174;352;180;362;190;391;261;533;408;809;643;1283;1109;2233;2101;4209
170;342;174;352;180;363;191;384;261;533;408;810;643;1283;1110;2233;2101;4210
169;342;175;352;180;363;191;384;262;533;408;810;643;1284;1110;2233;2102;4209
169;341;174;352;180;362;191;384;261;532;408;810;643;1284;1110;2234;2101;4209
169;341;175;352;180;362;190;384;261;532;408;809;643;1283;1110;2233;2101;4209
169;342;174;352;180;363;191;384;261;532;408;809;636;1284;1109;2233;2101;4210
170;341;175;352;179;362;189;384;262;532;401;810;636;1291;1110;2233;2104;4209
167;343;172;354;179;365;189;386;260;525;403;817;636;1290;1110;2227;2102;4210
168;343;180;354;185;365;196;385;259;527;403;817;643;1284;1109;2226;2101;4211
175;341;180;352;178;363;197;384;267;528;403;815;641;1286;1110;2228;2109;4209
168;349;172;359;179;370;189;391;260;534;408;817;642;1285;1117;2225;2101;4217
168;349;173;359;178;363;197;386;266;527;402;815;642;1285;1109;2228;2109;4209
168;348;173;352;178;363;189;384;267;527;403;815;642;1286;1110;2227;2101;4209
167;348;173;360;179;363;189;384;266;528;402;816;642;1286;1110;2227;2101;4209
168;348;173;359;178;370;189;391;260;527;408;817;642;1285;1117;2226;2101;4217
168;348;173;359;178;369;189;391;260;533;408;810;643;1284;1110;2234;2102;4209
169;341;174;352;180;362;191;384;260;533;403;816;642;1285;1110;2227;2108;4209
168;341;173;352;185;365;197;386;260;528;403;817;636;1291;1112;2226;2101;4212
168;343;180;353;186;364;196;386;260;527;402;817;644;1284;1109;2226;2102;4210
175;341;180;352;186;363;188;384;267;527;403;815;641;1286;1110;2229;2109;4209
168;348;173;360;178;370;189;391;259;527;408;817;642;1285;1117;2226;2101;4216
167;349;172;359;178;370;189;391;260;533;408;817;643;1283;1109;2226;2101;4217
169;341;173;359;178;370;188;391;260;532;408;810;643;1284;1110;2233;2101;4210
169;342;174;352;180;363;191;384;262;532;408;809;636;1284;1110;2234;2101;4209
169;341;172;352;179;363;189;384;261;533;401;810;636;1291;1110;2226;2103;4209
167;343;172;354;178;364;188;386;260;527;403;817;636;1283;1111;2225;2102;4211
175;343;180;354;185;364;196;386;262;532;408;810;636;1283;1110;2233;2102;4210
170;341;173;352;178;370;189;384;267;527;403;816;642;1284;1109;2228;2108;4209
168;341;173;352;186;364;196;385;267;527;403;817;644;1283;1110;2228;2101;4211
174;342;173;352;179;363;189;384;267;528;402;816;641;1286;1109;2228;2108;4209
168;348;173;359;179;370;189;391;259;534;408;817;642;1285;1117;2225;2101;4216
168;348;173;359;178;370;188;391;260;533;408;810;643;1283;1110;2233;2101;4209
169;341;174;352;180;362;191;384;262;532;408;810;644;1284;1110;2233;2101;4209
169;341;174;352;180;362;191;384;261;532;408;810;636;1283;1110;2233;2101;4209
170;342;175;352;178;362;189;384;262;532;400;810;636;1291;1109;2225;2103;4210
168;343;173;354;179;364;189;386;260;525;402;817;636;1291;1112;2226;2102;4211
168;343;180;353;185;364;196;386;267;527;403;817;643;1284;1110;2228;2101;4210
175;341;173;352;178;363;189;384;267;527;403;815;641;1286;1110;2228;2108;4209
168;341;180;352;179;365;189;391;260;527;408;817;641;1285;1110;2225;2101;4208
167;348;173;360;178;370;189;391;260;535;408;817;641;1285;1117;2226;2102;4216
168;348;173;359;180;370;190;391;260;532;408;810;644;1284;1110;2233;2101;4209
169;341;175;352;180;362;191;392;261;532;408;810;643;1284;1110;2233;2101;4209
170;341;175;352;180;363;191;384;262;533;408;810;643;1284;1110;2233;2102;4210
170;341;175;352;180;363;191;384;262;533;408;810;643;1283;1109;2234;2101;4209
169;341;175;352;180;363;191;384;262;532;408;810;644;1283;1110;2233;2101;4209
169;341;175;352;180;363;191;384;262;533;408;810;636;1284;1110;2233;2102;4209
169;341;173;352;179;363;189;384;262;532;401;810;636;1290;1110;2226;2103;4209
167;343;173;354;178;365;188;386;259;527;403;817;636;1284;1112;2226;2102;4211
175;343;180;354;185;364;196;386;267;527;403;818;643;1284;1110;2228;2101;4208
168;341;172;352;178;363;188;384;267;528;403;815;641;1285;1110;2228;2108;4209
167;349;173;359;178;370;188;391;260;527;408;817;641;1285;1117;2225;2101;4216
168;348;172;359;178;370;189;392;259;533;407;817;641;1284;1109;2227;2101;4217
169;341;174;352;180;363;188;391;260;533;408;817;643;1284;1110;2226;2101;4216
170;341;175;352;180;362;191;384;261;533;408;810;643;1283;1110;2233;2101;4209
170;341;175;352;180;363;189;391;260;533;409;817;643;1284;1110;2225;2102;4217
167;348;175;359;180;362;190;391;261;533;408;809;643;1283;1110;2234;2102;4208
169;341;175;352;180;363;189;391;260;532;408;810;643;1284;1109;2233;2101;4209
169;341;175;352;180;363;190;384;261;533;407;810;643;1284;1110;2233;2101;4209
169;342;175;352;180;363;191;391;261;533;408;810;643;1283;1110;2233;2101;4209
169;341;175;352;180;362;190;384;261;532;408;809;643;1283;1109;2234;2102;4209
170;341;174;352;181;363;190;391;261;533;408;809;636;1284;1109;2233;2101;4209
170;342;173;352;178;370;189;391;259;528;408;817;641;1285;1109;2226;2101;4209
168;349;173;359;178;370;189;392;260;532;408;817;641;1286;1110;2226;2101;4216
168;349;175;352;180;362;191;391;261;532;408;810;643;1283;1109;2234;2101;4209
169;341;175;352;180;363;190;384;261;532;408;810;636;1284;1109;2233;2102;4209
170;341;173;352;179;362;191;384;261;533;400;810;636;1290;1110;2226;2103;4209
167;344;173;354;178;365;189;386;262;532;403;817;636;1290;1109;2226;2101;4209
168;343;173;354;186;364;196;386;260;527;403;817;643;1284;1112;2226;2101;4211
175;343;180;354;185;364;196;386;267;527;403;815;643;1283;1110;2227;2102;4209
167;341;172;352;179;363;189;384;267;527;403;815;641;1285;1110;2227;2109;4208
168;349;173;360;178;370;189;392;260;534;408;817;641;1285;1117;2225;2101;4217
167;349;173;360;180;370;190;391;259;533;408;810;643;1284;1110;2233;2102;4209
169;342;175;352;180;363;191;384;261;532;408;810;643;1283;1110;2232;2101;4209
169;341;175;352;180;363;191;384;261;533;409;810;636;1283;1110;2233;2101;4209
169;342;176;352;178;363;189;384;261;533;400;810;636;1291;1109;2226;2104;4210
167;343;173;354;178;364;189;386;259;526;403;817;636;1290;1112;2226;2102;4211
168;343;180;354;185;365;196;386;267;527;402;817;643;1283;1111;2228;2101;4209
175;341;173;352;178;362;189;384;266;528;403;816;641;1286;1109;2228;2101;4209
168;348;173;359;179;371;189;391;259;535;408;817;641;1286;1117;2226;2101;4216
168;348;173;359;180;370;191;391;259;532;408;810;643;1283;1110;2233;2102;4209
170;341;175;352;180;362;190;391;261;532;408;809;643;1283;1110;2233;2101;4209
169;341;175;352;180;363;190;392;261;533;407;810;643;1283;1110;2233;2101;4209
169;341;175;352;180;362;190;384;261;532;408;810;643;1283;1110;2233;2101;4210
170;342;175;352;180;363;191;384;261;533;408;810;636;1283;1110;2233;2102;4209
169;341;174;352;178;363;189;384;261;533;400;810;635;1291;1110;2234;2104;4209
168;343;173;354;178;364;189;386;261;533;401;817;636;1291;1110;2226;2101;4209
168;343;173;354;178;365;189;386;259;528;403;817;644;1284;1112;2226;2102;4212
175;343;180;354;186;365;196;386;267;527;402;815;643;1284;1109;2227;2101;4209
167;342;172;352;178;363;189;384;266;527;403;815;641;1285;1110;2228;2108;4208
168;348;173;359;178;370;188;391;260;527;408;817;642;1285;1117;2226;2101;4216
168;349;172;359;178;370;189;392;260;532;408;817;644;1284;1110;2226;2101;4217
169;342;175;352;180;362;191;384;261;532;408;810;643;1284;1110;2233;2101;4210
169;342;175;352;178;362;189;384;261;533;401;810;636;1291;1110;2226;2103;4208
167;344;173;353;178;365;189;386;260;525;403;817;636;1292;1110;2225;2101;4209
168;343;172;354;179;365;189;386;260;527;403;817;643;1283;1112;2226;2101;4211
175;343;180;354;185;365;196;386;267;528;402;815;643;1283;1110;2227;2101;4210
167;342;173;352;178;363;189;384;267;528;403;815;641;1285;1109;2228;2109;4209
167;349;173;359;178;370;189;391;260;527;408;817;641;1286;1110;2226;2101;4209
168;348;173;359;178;370;189;392;260;534;408;817;642;1286;1110;2225;2101;4216
167;341;175;352;180;363;190;384;261;532;408;810;643;1283;1110;2233;2101;4210
169;341;175;352;180;363;191;384;262;533;408;809;643;1283;1109;2234;2101;4209
169;341;175;352;180;363;191;384;261;532;408;810;643;1284;1110;2233;2101;4209
169;341;174;352;180;363;191;392;261;533;408;810;643;1283;1110;2233;2101;4209
169;342;175;352;180;363;191;384;261;533;407;810;636;1284;1110;2233;2101;4210
169;341;173;352;178;362;188;384;262;532;401;809;636;1291;1110;2226;2103;4209
168;343;173;354;178;364;189;386;260;527;402;816;636;1283;1111;2226;2101;4211
175;343;180;354;185;365;196;386;267;528;402;817;644;1284;1110;2228;2101;4209
167;342;172;352;179;363;189;384;266;528;402;815;641;1286;1110;2227;2109;4210
168;349;173;359;178;370;188;392;259;535;408;817;641;1285;1117;2226;2102;4216
168;349;173;359;180;370;191;391;259;533;408;810;643;1284;1111;2233;2101;4209
169;341;175;352;180;363;191;391;262;532;408;809;636;1284;1109;2233;2101;4209
170;341;173;352;181;362;191;384;262;533;408;810;643;1284;1110;2232;2102;4210
170;341;174;352;180;363;191;384;261;533;408;810;643;1283;1110;2233;2102;4209
170;341;175;352;180;363;191;384;262;532;408;810;643;1283;1111;2233;2101;4209
169;341;175;352;180;362;190;391;261;533;408;810;636;1284;1109;2233;2101;4208
170;342;175;352;180;362;191;384;262;532;408;810;636;1284;1110;2233;2101;4209
170;341;173;352;178;363;189;384;262;532;401;817;635;1291;1110;2226;2102;4209
167;343;172;354;178;364;189;386;260;527;402;817;643;1284;1112;2225;2101;4211
175;343;180;354;185;365;196;386;266;527;402;818;643;1283;1109;2227;2101;4209
167;341;172;352;178;363;189;384;267;527;402;815;641;1285;1109;2228;2102;4210
168;348;173;359;178;370;189;391;260;528;408;817;641;1285;1117;2226;2102;4215
168;349;173;359;178;369;189;392;260;533;408;817;641;1286;1110;2226;2101;4216
170;341;174;352;180;362;190;384;262;533;408;810;643;1284;1110;2233;2101;4209
170;341;175;352;180;363;191;384;261;532;408;809;643;1283;1110;2233;2101;4210
169;342;175;352;180;363;191;384;262;533;408;810;643;1283;1109;2233;2101;4208
169;341;174;352;180;363;191;392;261;533;408;810;643;1283;1110;2233;2102;4209
170;341;175;352;180;363;191;384;262;532;408;810;643;1284;1110;2233;2101;4209
169;341;175;352;180;362;191;391;262;533;408;810;643;1284;1109;2233;2101;4210
169;341;175;352;180;363;191;391;261;532;408;809;643;1283;1110;2233;2102;4209
170;342;173;359;178;370;189;391;260;533;408;817;641;1287;1110;2226;2102;4216
169;342;174;352;180;363;191;384;262;533;408;810;643;1283;1110;2233;2101;4208
169;341;175;352;180;363;190;384;262;533;407;809;643;1283;1110;2233;2101;4210
169;341;175;352;180;362;191;384;261;532;408;809;643;1284;1110;2233;2102;4209
170;341;175;352;180;363;189;391;260;532;408;810;643;1283;1109;2233;2101;4209
169;341;175;352;180;362;191;391;261;533;408;809;643;1283;1110;2232;2101;4208
169;341;175;352;180;362;191;384;262;533;408;810;643;1284;1110;2233;2101;4210
169;341;174;352;180;362;189;391;259;527;408;817;642;1285;1117;2225;2102;4216
167;349;173;360;179;370;188;391;260;533;408;817;641;1286;1110;2226;2101;4217
169;341;175;352;180;363;190;391;262;533;408;810;644;1284;1110;2233;2101;4209
170;342;174;352;180;363;191;391;262;533;408;810;643;1284;1110;2233;2101;4210
169;341;174;352;180;363;190;384;261;532;408;809;643;1283;1109;2233;2102;4209
169;341;174;352;180;362;191;391;261;532;408;809;643;1283;1109;2234;2102;4209
169;341;174;352;180;363;191;384;261;532;408;810;635;1284;1110;2233;2101;4209
169;342;173;354;178;364;188;386;261;532;400;817;636;1291;1110;2225;2103;4209
167;344;173;354;178;365;189;386;259;527;403;817;636;1291;1112;2226;2102;4210
167;343;180;354;186;365;196;386;267;527;403;817;643;1283;1110;2228;2101;4208
175;341;173;352;179;363;189;384;267;527;402;815;642;1285;1110;2228;2109;4209
167;348;173;360;178;370;189;392;259;527;408;817;641;1286;1117;2226;2102;4217
167;348;173;359;178;370;189;391;260;533;408;816;641;1283;1110;2226;2101;4216
167;348;174;352;180;363;191;392;262;533;408;809;643;1283;1110;2233;2101;4209
169;341;175;352;180;363;190;391;262;532;408;809;644;1283;1110;2233;2102;4209
170;342;175;352;180;363;191;392;262;532;408;809;643;1284;1110;2233;2101;4209
169;341;175;352;180;363;191;391;262;533;408;810;644;1284;1109;2233;2101;4210
170;342;175;352;180;363;191;391;262;532;408;810;643;1283;1110;2234;2101;4208
169;341;175;352;180;363;191;384;262;533;408;809;644;1283;1110;2233;2101;4209
169;342;175;352;180;363;190;384;261;533;408;809;643;1283;1109;2233;2101;4208
169;342;175;352;180;362;190;384;261;532;408;809;643;1284;1110;2233;2101;4209
169;341;175;352;180;362;190;384;262;533;408;810;636;1283;1110;2233;2101;4209
170;341;175;352;180;363;190;384;261;533;408;810;643;1284;1110;2233;2101;4209
170;342;175;352;180;363;190;384;261;533;408;810;644;1284;1110;2233;2101;4209
169;341;175;352;180;363;191;391;262;533;408;810;643;1284;1110;2232;2101;4210
170;342;175;352;180;363;189;392;267;527;402;815;642;1285;1109;2228;2109;4208
168;349;173;359;178;370;189;391;259;527;408;817;642;1286;1117;2226;2101;4216
167;348;173;359;178;370;189;392;259;532;408;817;641;1283;1110;2226;2102;4217
168;349;175;359;178;370;189;391;267;527;403;816;641;1286;1110;2228;2109;4208
168;348;173;359;178;370;189;391;260;527;408;817;641;1286;1110;2226;2101;4208
168;349;173;360;179;369;189;391;260;528;408;817;642;1286;1110;2226;2101;4209
167;349;173;359;179;370;188;392;260;533;408;817;641;1285;1110;2226;2102;4217
169;341;175;352;180;363;191;391;262;533;408;810;643;1283;1109;2233;2101;4209
169;341;174;352;180;362;190;384;261;533;408;809;643;1284;1110;2234;2101;4209
170;341;175;352;180;363;190;384;262;532;408;810;644;1283;1110;2233;2101;4209
170;341;175;352;180;363;191;392;262;532;408;810;643;1284;1109;2233;2101;4209
170;341;175;352;180;363;190;384;261;532;408;810;643;1283;1110;2233;2101;4210
169;341;174;352;180;363;191;391;261;532;408;809;643;1283;1110;2234;2101;4209
169;342;175;352;180;362;191;384;261;532;408;810;636;1283;1110;2233;2101;4209
169;341;175;352;180;362;191;384;261;532;401;810;636;1291;1110;2225;2103;4209
167;343;172;354;178;365;188;386;260;525;403;817;636;1291;1112;2225;2101;4212
167;343;180;354;186;364;196;386;266;527;403;817;643;1284;1110;2228;2101;4209
175;341;173;352;178;362;189;384;267;527;402;815;641;1286;1110;2228;2108;4209
167;349;173;359;179;370;189;391;260;527;408;817;642;1285;1110;2226;2101;4208
168;349;173;359;178;370;189;391;260;533;408;817;642;1286;1110;2226;2101;4217
168;348;175;352;180;362;191;391;261;532;408;810;644;1284;1110;2234;2101;4209
170;341;175;352;180;362;190;391;261;532;408;810;643;1284;1110;2233;2101;4209
169;342;175;352;180;363;191;384;262;533;408;810;643;1284;1109;2233;2101;4209
169;341;175;352;180;363;191;384;261;532;408;810;636;1283;1109;2233;2101;4210
169;342;173;352;178;362;189;384;261;533;400;810;636;1291;1110;2226;2103;4208
167;343;173;354;178;364;189;385;262;532;401;817;636;1292;1110;2225;2103;4208
168;343;173;354;178;365;189;386;261;533;401;817;636;1290;1110;2226;2103;4209
168;343;175;352;178;370;189;391;266;527;402;815;643;1284;1110;2227;2101;4210
168;341;173;354;180;363;189;392;259;533;408;817;643;1284;1109;2226;2102;4216
170;341;175;352;180;370;191;391;261;533;408;810;644;1284;1110;2233;2101;4209
170;342;174;352;180;362;189;392;260;535;408;816;641;1285;1117;2225;2101;4216
168;348;172;359;180;370;191;392;260;533;408;810;644;1284;1109;2233;2101;4210
170;341;175;359;178;370;189;391;259;532;408;810;643;1284;1110;2233;2102;4209
169;341;173;359;185;364;196;386;267;527;403;817;644;1283;1110;2227;2101;4209
167;341;172;352;178;363;189;384;267;527;403;816;641;1285;1110;2227;2109;4210
167;348;172;360;178;370;189;391;260;527;408;817;642;1285;1117;2225;2101;4209
167;349;172;360;179;370;188;391;260;532;408;817;641;1285;1117;2227;2102;4216
167;348;173;360;178;362;196;386;267;528;403;817;644;1283;1110;2225;2102;4211
175;341;173;354;178;364;189;386;261;532;400;817;636;1290;1109;2226;2103;4209
168;343;173;354;178;364;189;386;260;525;402;817;636;1290;1110;2225;2102;4210
167;344;180;354;186;365;196;386;260;527;403;817;643;1283;1110;2226;2101;4211
174;342;180;352;186;363;196;386;267;527;402;815;642;1285;1110;2227;2109;4209
167;348;172;360;179;370;189;392;259;527;408;817;641;1286;1117;2225;2101;4216
168;349;173;360;178;370;189;391;259;532;408;810;643;1283;1109;2232;2101;4210
169;341;175;352;180;363;191;384;262;532;408;810;643;1284;1110;2233;2101;4209
169;342;175;352;180;363;191;391;262;532;408;809;644;1283;1110;2233;2101;4209
169;341;175;352;180;362;191;391;261;532;407;810;643;1284;1110;2233;2101;4209
169;341;175;352;180;362;191;384;261;532;408;809;636;1283;1109;2233;2101;4210
169;342;172;352;178;365;188;386;261;533;401;817;636;1291;1110;2226;2103;4208
168;343;173;354;178;364;189;386;259;527;403;817;636;1292;1112;2225;2101;4210
168;343;180;353;185;364;196;385;267;527;403;817;643;1283;1110;2228;2101;4208
168;343;180;352;186;363;196;384;267;527;403;815;641;1285;1109;2227;2108;4210
168;348;173;359;178;370;189;391;260;527;408;817;641;1285;1117;2226;2101;4216
168;348;173;360;178;370;188;391;260;533;408;817;641;1284;1110;2226;2101;4216
169;341;174;352;180;363;191;391;262;533;408;809;636;1283;1110;2233;2102;4209
169;342;172;352;178;363;189;384;261;533;401;810;636;1291;1110;2233;2103;4209
167;343;173;354;178;365;189;386;261;533;402;817;636;1291;1109;2226;2102;4211
167;344;173;354;178;365;189;386;260;527;402;817;636;1291;1112;2226;2102;4210
168;343;180;354;185;364;196;386;260;527;403;817;643;1284;1109;2226;2102;4211
175;343;181;352;185;364;196;386;267;527;403;815;643;1283;1110;2227;2101;4210
168;341;173;352;178;362;189;386;262;533;401;817;636;1291;1110;2226;2103;4209
168;343;173;353;178;364;189;386;260;527;402;817;636;1291;1109;2226;2101;4211
168;343;180;353;185;364;196;386;259;527;403;817;643;1284;1111;2225;2101;4211
174;343;181;354;185;364;189;386;259;527;403;817;643;1284;1112;2226;2101;4211
175;343;180;354;185;364;196;386;266;527;403;817;644;1283;1110;2227;2101;4209
167;341;173;352;178;362;189;384;267;527;402;815;641;1286;1110;2227;2101;4209
167;348;173;359;178;369;189;391;260;534;408;818;641;1285;1116;2226;2101;4216
168;349;173;360;178;370;189;391;259;533;408;816;641;1285;1110;2226;2101;4216
170;341;175;352;180;362;191;384;261;532;408;810;643;1283;1110;2233;2101;4209
169;342;175;352;180;363;190;384;261;533;408;810;636;1284;1110;2233;2101;4209
169;341;173;352;178;363;189;384;262;532;400;818;636;1291;1110;2225;2103;4209
168;343;173;354;178;364;189;385;260;528;402;817;636;1291;1111;2225;2101;4211
168;343;180;354;178;365;189;386;259;527;403;817;643;1283;1111;2226;2102;4211
174;343;180;353;185;365;196;386;267;527;402;815;643;1284;1110;2227;2101;4209
168;341;173;352;178;363;189;384;266;527;403;815;642;1285;1110;2227;2101;4209
168;349;173;359;178;371;189;391;260;534;408;817;641;1285;1117;2226;2101;4217
168;348;173;359;178;370;188;391;259;533;408;810;643;1283;1110;2233;2102;4209
169;341;175;352;180;362;191;392;261;533;408;810;643;1284;1110;2234;2101;4209
169;341;174;352;180;363;190;392;261;533;408;810;643;1284;1110;2233;2101;4209
170;341;175;352;180;363;190;384;262;532;408;810;643;1283;1109;2233;2101;4210
169;341;175;352;180;362;190;384;261;533;407;810;643;1284;1110;2233;2102;4209
170;342;175;352;180;362;191;392;260;533;408;809;643;1283;1110;2234;2101;4209
169;341;175;352;180;363;191;384;261;533;408;810;643;1284;1110;2233;2101;4209
170;341;175;352;180;363;191;384;261;532;408;810;643;1284;1110;2233;2101;4210
169;342;174;352;181;362;190;391;261;533;408;810;643;1284;1110;2233;2102;4209
169;341;175;352;180;363;191;391;262;532;408;810;643;1283;1110;2233;2101;4209
169;342;175;352;180;363;189;391;259;527;407;818;642;1285;1117;2226;2101;4216
167;348;173;359;178;370;189;391;260;532;408;817;643;1283;1110;2226;2101;4217
169;341;175;352;178;370;189;391;259;527;408;817;641;1286;1117;2225;2102;4216
167;349;173;359;178;370;188;392;259;533;408;817;643;1283;1109;2225;2102;4216
170;342;174;352;180;363;191;391;261;533;408;810;643;1284;1110;2233;2101;4209
169;341;175;352;180;363;191;384;262;533;408;810;636;1283;1110;2233;2101;4209
169;342;173;352;178;363;189;384;262;532;401;810;636;1290;1109;2226;2104;4209
168;344;173;354;178;365;189;386;261;533;400;817;636;1291;1110;2226;2101;4209
168;343;173;354;178;365;189;386;259;528;403;817;644;1284;1112;2225;2101;4211
174;344;180;354;186;365;196;386;266;527;403;815;643;1284;1109;2227;2102;4210
167;342;173;352;179;363;188;384;267;528;403;815;641;1285;1110;2228;2109;4209
167;349;173;359;178;370;189;384;266;527;403;815;642;1285;1109;2229;2108;4209
168;349;173;359;178;370;189;391;259;528;408;817;642;1285;1117;2225;2101;4215
168;349;172;359;178;370;189;392;260;532;408;810;643;1283;1109;2232;2101;4208
169;341;174;352;180;362;191;391;261;533;408;809;643;1284;1110;2233;2101;4209
169;341;175;352;180;362;190;392;261;533;408;809;643;1283;1109;2234;2102;4209
169;341;175;352;180;363;190;384;261;533;408;810;636;1284;1110;2233;2101;4209
170;341;173;352;178;362;189;384;261;533;401;810;636;1291;1110;2233;2103;4209
167;344;173;354;178;365;189;385;260;533;402;817;636;1291;1109;2225;2101;4211
168;344;173;354;178;365;189;386;260;527;403;817;643;1283;1112;2227;2101;4211
175;343;180;354;185;364;196;386;266;527;402;815;643;1284;1110;2228;2109;4208
168;341;173;352;178;363;189;384;268;527;402;816;642;1286;1109;2227;2109;4209
168;349;173;359;178;370;189;391;259;527;408;817;641;1285;1117;2226;2101;4217
168;348;173;359;178;370;189;391;259;532;408;817;641;1283;1110;2227;2102;4216
170;341;175;352;180;363;191;391;261;533;407;810;643;1284;1110;2233;2101;4208
170;341;175;352;180;363;191;391;262;533;408;810;643;1283;1109;2233;2101;4209
169;341;174;352;180;363;191;384;261;532;408;810;636;1283;1109;2233;2101;4210
170;341;173;352;178;362;189;384;261;533;400;810;636;1291;1110;2234;2103;4209
167;343;172;354;178;364;189;386;261;533;401;817;635;1291;1109;2226;2101;4209
168;343;173;354;178;365;189;386;259;527;403;817;636;1291;1112;2225;2101;4210
167;343;181;354;186;365;189;386;260;527;403;817;636;1291;1110;2226;2101;4212
168;343;180;354;185;364;196;386;260;527;402;817;643;1284;1110;2226;2102;4211
175;341;180;352;178;363;189;384;267;527;400;815;642;1285;1110;2228;2101;4209
168;349;172;359;178;370;189;391;260;527;409;817;641;1285;1117;2226;2101;4216
168;349;173;360;179;370;189;391;260;533;408;817;641;1284;1109;2226;2101;4217
170;341;175;352;180;362;191;384;262;532;408;809;643;1283;1110;2233;2102;4209
170;342;175;352;180;363;191;391;261;533;408;810;643;1284;1110;2233;2101;4209
169;341;174;352;180;362;190;392;261;533;408;810;643;1284;1110;2233;2101;4209
169;342;174;352;178;370;189;384;266;528;401;816;641;1286;1110;2228;2108;4209
168;348;173;359;178;370;189;391;260;535;408;817;641;1286;1116;2226;2102;4216
168;348;175;359;180;370;191;391;259;532;408;809;643;1283;1110;2233;2102;4209
170;341;172;360;178;370;189;391;260;527;409;817;642;1285;1109;2225;2101;4209
167;349;173;360;178;370;189;391;260;535;407;817;641;1286;1117;2226;2101;4217
167;349;173;359;180;370;191;392;260;533;407;810;643;1283;1109;2232;2102;4209
169;341;175;352;180;363;189;391;260;533;408;817;642;1284;1111;2226;2101;4216
169;341;175;352;180;370;191;391;260;532;409;810;643;1283;1110;2232;2101;4209
169;341;175;352;180;362;191;384;261;533;408;810;636;1283;1110;2233;2101;4209
169;341;172;352;178;362;191;384;262;533;400;810;636;1291;1110;2233;2104;4209
