0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
119;245;160;324;232;472;308;629;392;787;463;951
119;245;160;323;231;471;308;629;391;787;463;952
118;245;160;324;232;471;308;629;391;787;463;952
119;245;160;324;231;472;308;629;391;786;463;951
119;245;160;323;232;471;308;629;392;787;463;952
119;245;162;324;231;471;308;629;392;787;462;952
118;246;159;324;231;471;308;629;391;787;463;952
119;245;159;324;231;471;308;636;391;787;469;952
118;238;160;326;232;471;308;629;391;787;463;951
118;245;161;324;239;471;308;629;392;786;463;951
119;245;162;324;232;471;308;629;391;787;462;952
118;245;160;323;232;471;308;629;392;787;463;952
119;245;161;324;239;471;308;629;391;787;463;952
119;245;162;324;239;471;308;629;391;787;463;952
119;245;160;324;232;471;308;636;392;787;470;951
118;238;160;326;231;471;308;636;391;787;470;952
119;237;159;324;232;471;308;636;392;787;471;952
118;238;160;326;231;471;308;629;391;786;463;951
119;245;162;323;239;471;308;629;392;787;462;952
118;245;160;324;232;471;308;629;392;787;463;952
119;245;160;324;232;471;308;629;391;787;462;952
119;245;159;324;232;471;308;629;392;787;463;952
118;246;160;324;231;471;308;629;391;787;462;952
119;245;162;324;239;471;308;629;392;786;463;952
119;245;160;324;232;472;308;636;392;787;471;952
118;238;160;326;232;472;308;637;391;787;470;952
118;238;160;326;232;471;308;637;392;787;470;951
118;238;160;326;232;472;308;629;392;787;462;952
119;245;160;324;232;471;308;636;391;787;470;952
119;237;160;325;232;471;308;636;391;787;470;951
119;237;160;325;232;472;308;629;392;787;462;952
119;245;160;324;232;471;308;629;392;787;462;952
119;245;159;324;231;471;308;637;391;786;470;951
119;237;160;326;231;471;308;636;392;786;470;951
119;238;160;325;232;472;308;636;392;787;470;952
119;245;160;324;232;471;308;629;392;787;463;951
118;245;160;324;232;471;309;629;391;787;463;952
119;245;160;323;232;471;308;629;392;787;462;952
118;246;162;324;232;471;308;629;392;787;462;952
118;245;159;324;232;471;308;636;392;786;470;951
119;237;160;326;231;471;308;636;391;786;471;952
119;238;160;325;231;471;308;636;392;786;470;951
118;237;159;325;232;471;308;636;392;787;470;952
118;238;159;326;231;479;308;637;384;787;470;952
119;238;167;326;232;478;308;637;385;787;469;952
118;238;167;326;232;478;308;636;385;786;470;952
118;238;168;326;231;479;308;636;384;794;469;952
119;238;167;326;231;477;308;636;385;794;468;950
118;238;167;326;232;477;308;636;384;794;469;950
119;238;160;325;232;476;308;637;384;794;468;951
121;238;160;325;231;476;308;636;384;794;468;951
119;238;160;326;231;477;308;637;384;794;468;951
121;237;160;326;232;476;308;636;384;794;468;952
120;238;160;325;232;477;310;634;385;794;468;952
120;237;160;331;232;476;310;634;386;794;468;952
118;237;159;331;234;469;310;635;387;794;460;945
119;240;160;331;233;469;310;635;387;794;460;944
119;240;159;331;233;477;310;635;386;794;461;944
119;240;160;331;233;469;310;634;386;794;461;945
119;240;160;331;234;470;310;635;386;794;461;944
118;237;160;331;232;477;310;634;386;794;468;951
119;238;160;331;232;476;310;634;386;794;467;952
119;238;159;331;232;476;309;634;386;794;468;952
118;238;160;331;232;477;310;634;386;794;468;951
119;237;160;331;232;477;310;634;386;794;469;952
119;238;160;331;234;476;310;634;386;794;461;945
119;237;160;331;232;477;310;634;386;794;461;944
119;238;159;330;232;477;310;635;387;794;468;951
119;238;160;331;233;469;310;634;386;794;461;944
119;238;160;331;234;477;310;634;387;794;460;945
118;237;159;332;231;476;310;635;386;794;468;952
119;238;160;331;234;469;310;634;386;794;461;945
119;238;160;331;232;476;310;634;387;794;469;952
118;237;159;325;232;477;308;637;385;794;468;952
121;238;167;326;231;476;308;636;384;794;468;952
119;238;167;326;231;479;309;637;384;794;468;950
119;238;167;325;232;478;308;637;384;787;469;952
118;238;160;326;232;471;308;636;392;787;463;952
118;246;161;323;239;471;315;629;391;792;462;952
119;239;159;330;234;469;317;627;387;794;461;952
126;239;159;331;234;469;318;627;386;795;460;952
126;240;159;331;233;469;310;635;386;794;460;944
118;237;160;331;234;470;310;634;386;794;461;945
119;238;160;331;232;477;310;634;386;794;468;952
119;238;160;330;232;477;310;635;386;794;468;951
119;238;160;331;232;476;310;634;385;794;468;953
121;238;160;325;232;476;309;635;384;794;468;952
121;237;159;326;231;476;308;636;384;794;468;952
120;238;160;326;232;477;308;635;384;795;468;951
120;237;167;325;232;476;308;636;385;794;468;952
118;238;167;325;232;476;308;636;384;794;468;952
118;238;160;325;232;477;308;636;385;794;468;952
121;237;160;326;231;476;310;635;384;794;468;952
120;237;159;325;232;477;310;634;384;794;468;953
121;238;160;326;232;477;310;634;385;794;468;952
121;238;160;325;232;476;308;636;384;794;468;952
121;238;160;326;231;476;310;634;385;795;468;952
120;238;160;331;232;477;310;634;385;794;468;951
121;238;160;331;231;477;310;635;385;794;468;952
120;238;160;326;232;477;310;634;384;794;468;952
120;238;160;326;231;476;308;634;385;794;468;952
121;238;159;325;232;476;310;634;384;794;468;953
120;238;160;326;232;477;308;634;385;794;468;952
120;238;160;326;231;477;308;637;384;794;468;952
121;238;167;326;232;479;308;636;385;786;469;952
118;238;160;326;231;471;308;636;391;787;470;951
119;245;162;324;232;471;308;629;391;787;463;951
119;245;161;324;240;471;315;629;391;794;463;951
118;238;160;323;239;471;315;629;394;792;463;952
118;238;160;324;239;471;316;629;394;792;463;953
118;237;159;324;238;472;315;629;393;792;462;952
118;245;162;324;238;472;315;629;392;794;462;951
119;245;162;323;239;471;308;629;393;787;462;952
118;245;161;323;238;472;308;629;391;786;463;952
119;245;162;323;239;471;308;629;392;794;463;951
119;245;162;323;240;471;315;629;392;794;463;952
119;240;160;331;234;469;317;627;386;794;461;952
126;239;159;331;233;469;310;634;386;794;461;945
119;239;160;331;233;469;310;634;386;794;461;945
118;238;160;331;232;476;310;634;387;794;461;945
119;237;160;330;231;476;310;635;386;794;468;952
118;238;159;330;231;477;310;635;386;794;467;952
119;237;160;331;233;470;310;635;386;794;461;944
119;237;160;331;234;477;310;634;386;794;461;945
119;238;167;325;232;478;308;636;385;787;470;952
119;237;160;326;231;471;308;629;391;787;463;952
118;245;162;324;239;471;315;629;392;794;463;952
119;245;162;323;239;471;315;629;391;794;463;952
119;238;159;324;239;472;316;629;393;792;463;952
118;240;160;331;234;469;317;627;387;794;460;952
126;240;159;331;234;469;317;627;386;794;461;951
127;239;160;324;234;469;317;627;386;794;461;952
126;239;160;331;234;469;315;627;386;793;460;952
126;239;160;331;234;469;315;627;387;795;460;952
126;240;160;323;233;469;315;629;387;794;460;951
126;240;160;324;233;469;315;627;387;794;460;951
126;240;159;330;233;469;310;635;386;794;460;944
118;238;160;330;234;469;310;634;386;794;461;944
119;240;159;331;233;469;310;634;386;794;461;944
118;240;159;331;234;469;310;634;387;794;461;945
119;240;160;331;234;469;310;634;386;794;460;945
118;240;160;331;234;469;310;634;386;795;461;945
118;240;160;331;234;469;318;627;387;794;461;952
126;240;160;324;234;469;315;629;386;794;461;951
125;240;160;324;234;469;316;627;386;794;461;952
126;239;160;324;234;469;315;629;387;794;460;952
126;240;160;324;234;470;316;629;386;794;461;952
126;239;159;324;234;469;315;629;393;792;461;951
119;239;159;331;234;470;310;634;387;794;460;944
119;238;159;330;234;469;310;635;386;795;461;944
119;237;159;331;234;470;310;634;386;794;461;944
119;240;160;331;233;469;309;634;386;794;461;944
119;240;160;331;234;470;310;634;386;795;460;944
119;237;160;331;233;469;309;634;386;794;460;944
119;237;160;330;233;476;310;634;386;794;461;944
119;238;160;331;234;469;310;634;386;794;461;945
118;239;160;331;234;469;310;634;387;794;461;944
119;240;160;331;234;469;310;634;387;795;461;944
119;240;160;331;234;469;310;634;387;794;460;944
118;239;160;331;233;470;310;635;387;794;460;944
119;240;160;331;234;470;310;635;386;794;460;945
118;239;160;331;234;469;310;634;386;794;461;945
119;240;160;331;234;469;310;634;386;794;460;945
118;240;160;331;233;469;310;634;386;794;461;945
119;240;160;331;234;470;310;634;386;794;460;945
118;239;160;330;233;469;310;634;387;795;461;945
119;239;159;331;234;470;310;634;386;794;461;945
118;240;160;331;234;469;310;635;386;794;461;945
118;239;160;331;233;469;310;635;386;794;461;945
119;240;160;331;234;469;310;635;387;794;461;944
119;240;160;331;234;469;310;634;387;794;460;945
118;240;159;331;234;469;310;634;386;794;461;945
119;240;160;331;234;470;310;634;386;794;461;944
119;240;159;331;233;469;310;635;386;794;461;944
118;240;160;330;234;469;310;634;386;794;461;945
118;237;160;331;234;469;310;634;386;794;461;945
118;239;160;330;234;469;309;634;386;794;461;945
119;240;160;331;233;469;310;635;386;794;460;944
119;240;159;331;233;469;310;635;386;794;460;945
118;239;160;331;233;469;310;634;386;794;461;945
118;240;160;331;234;469;310;635;386;794;461;944
119;240;159;331;234;470;310;634;386;795;461;944
119;240;159;331;234;469;310;634;386;794;460;945
118;240;159;331;233;469;310;634;386;794;461;945
119;240;160;331;234;469;309;634;386;794;461;944
118;240;160;331;233;469;310;635;387;794;461;945
118;239;160;331;234;469;310;634;386;794;461;945
118;239;159;331;234;470;310;634;386;794;461;944
118;239;160;331;234;469;310;634;386;794;461;945
118;240;160;331;234;469;310;635;386;795;460;945
119;240;160;331;234;470;310;634;387;794;460;945
119;239;159;331;233;469;310;634;387;794;461;944
119;240;160;330;233;470;310;635;386;794;460;945
118;239;160;331;234;469;310;634;386;794;461;944
119;240;159;331;234;469;309;634;386;794;460;944
119;240;159;331;234;469;310;634;386;794;460;944
119;240;160;331;233;470;310;635;386;794;461;944
119;240;160;330;233;470;310;635;386;795;460;944
119;240;160;331;234;470;310;634;386;794;461;945
118;240;160;331;234;469;310;634;386;794;461;945
119;240;160;331;234;469;310;634;387;794;460;944
119;237;160;331;232;477;310;635;385;794;467;952
120;238;160;331;232;476;310;634;384;794;468;953
118;238;160;331;234;476;310;634;385;794;468;952
120;237;160;331;232;476;310;634;385;794;468;951
121;237;159;330;232;476;310;635;384;794;468;951
121;237;160;331;232;476;310;634;385;794;468;952
119;237;160;331;232;476;310;634;386;794;460;944
119;238;160;331;231;477;310;635;386;794;460;945
118;240;160;330;234;469;310;635;386;794;460;944
119;240;160;331;234;469;310;634;386;794;461;944
118;240;160;331;234;469;310;634;387;794;461;944
119;240;160;330;234;469;310;635;386;794;461;944
119;240;160;331;233;470;310;634;386;795;460;944
119;238;160;331;231;476;310;634;386;794;468;951
119;237;160;331;232;476;310;634;386;794;461;944
119;239;160;331;234;469;309;634;387;794;461;944
119;238;160;331;232;477;310;634;386;794;468;952
119;238;160;331;232;476;310;634;385;794;468;953
120;238;160;326;232;476;308;634;385;794;468;952
120;238;160;326;232;477;308;634;384;794;468;952
118;237;159;326;231;476;308;637;384;795;468;952
119;238;159;325;232;476;308;636;384;794;468;952
121;238;160;326;232;476;308;634;384;794;468;952
121;238;160;326;232;477;308;635;385;794;468;952
119;237;167;326;232;479;308;636;384;794;468;950
119;238;160;325;232;476;308;636;385;794;468;953
118;238;160;325;232;477;308;637;384;794;468;951
119;237;167;326;232;476;308;636;384;794;468;950
118;237;167;326;232;479;308;637;385;787;469;952
118;238;160;326;232;472;308;629;392;787;463;951
119;245;162;324;239;471;308;629;391;787;462;952
118;245;162;324;240;471;308;629;392;787;462;952
118;245;162;324;239;471;316;629;392;794;462;952
118;245;162;323;239;471;308;629;391;786;463;952
119;245;162;324;231;471;308;629;392;787;463;952
118;245;161;324;231;471;308;629;391;787;462;952
118;245;161;323;239;472;308;629;392;786;463;952
119;244;162;324;231;471;308;629;392;786;463;951
119;245;162;323;232;471;308;636;392;787;470;952
118;238;159;326;232;471;308;636;392;787;470;951
119;238;160;324;232;471;308;629;392;787;462;952
118;245;162;324;232;471;308;636;392;787;470;952
119;238;160;323;232;471;308;636;391;787;470;951
119;238;160;324;232;471;309;629;392;787;463;951
119;245;161;323;231;471;308;629;392;786;463;952
119;245;162;323;232;471;308;629;392;786;463;952
118;245;162;323;239;471;309;629;392;787;463;952
118;245;162;324;232;471;308;636;392;787;462;952
118;245;161;323;239;471;308;629;392;787;462;952
118;245;161;324;231;472;308;629;392;787;463;952
119;245;161;324;239;471;308;629;391;787;462;952
119;245;162;323;232;471;308;636;392;787;470;952
118;238;160;326;231;471;308;636;392;787;462;952
118;245;161;324;231;471;308;629;392;787;463;952
119;245;162;324;232;472;308;629;391;787;462;952
119;245;162;324;239;471;308;629;392;787;463;952
119;245;161;323;232;471;308;629;391;787;463;952
119;245;162;323;239;471;308;629;392;787;463;953
118;245;162;324;232;472;309;636;392;787;463;952
119;245;162;324;231;472;308;629;391;786;462;951
119;245;162;323;231;471;308;629;393;787;462;952
119;245;162;324;232;471;308;629;391;787;462;952
119;245;162;324;232;472;308;629;391;786;463;952
119;245;162;323;240;471;308;629;392;787;462;952
118;245;161;324;231;471;308;629;391;787;463;952
119;245;162;323;232;471;308;629;391;787;462;952
119;245;162;324;239;471;308;629;392;787;462;952
119;245;162;324;232;471;308;636;391;787;470;952
119;238;160;324;231;471;308;629;392;787;463;952
119;245;162;324;239;471;308;629;391;786;463;951
119;245;162;323;231;471;308;629;392;787;463;952
119;245;162;324;240;471;308;629;392;787;463;951
119;245;162;324;232;471;308;629;392;787;462;952
119;245;162;324;239;471;308;629;391;787;462;952
119;245;162;324;239;471;308;629;391;787;462;952
119;245;161;324;232;471;308;629;392;787;463;952
119;245;161;324;231;471;308;629;392;787;462;952
119;245;162;323;239;471;308;629;391;787;463;951
119;245;161;324;231;472;308;629;391;786;463;951
118;245;162;324;232;471;308;629;391;787;463;952
118;245;162;324;232;472;308;636;392;787;463;952
119;245;162;324;231;471;308;636;392;786;469;952
119;237;160;323;231;471;308;637;391;786;470;951
119;238;160;324;231;472;308;636;392;787;470;952
118;238;159;324;232;472;308;636;392;787;469;952
119;245;162;324;239;472;308;629;391;786;463;952
119;245;160;323;239;471;315;629;391;792;463;952
118;239;160;323;233;469;316;627;386;794;461;952
126;240;159;331;234;469;310;634;386;794;460;945
118;238;160;331;232;477;310;634;387;794;461;945
118;238;159;331;232;477;310;634;386;794;468;952
121;237;160;331;231;477;310;634;386;794;468;952
118;238;160;331;232;477;310;635;384;794;468;952
120;238;160;331;232;476;310;634;387;794;467;951
121;237;160;330;231;476;309;635;386;794;468;952
118;238;159;325;232;476;308;636;384;794;468;952
118;238;167;326;232;478;308;636;385;787;470;952
119;245;162;324;239;471;315;629;391;795;462;952
119;240;160;324;234;469;315;627;387;794;461;952
126;237;159;331;232;477;310;634;384;794;468;952
121;238;160;326;231;477;308;636;384;794;468;951
118;238;167;325;232;478;308;636;385;794;470;952
118;238;167;326;232;476;308;636;384;794;468;953
119;238;160;326;232;477;308;636;385;794;468;952
119;238;160;326;232;477;308;636;384;794;468;952
119;238;159;326;231;477;308;637;384;794;468;952
118;237;159;325;232;477;308;637;384;794;468;952
120;237;160;325;232;476;308;636;384;794;467;952
120;238;167;326;232;479;308;636;385;794;470;952
119;238;159;324;232;471;308;636;392;786;463;952
119;237;160;324;239;469;315;629;394;792;463;953
118;240;160;331;234;469;310;634;386;794;461;945
119;238;159;331;231;477;310;634;384;793;468;952
121;237;159;331;232;476;310;635;386;794;468;952
121;237;167;325;232;476;308;636;384;794;468;950
118;238;168;326;232;479;308;636;385;787;470;952
119;246;161;324;239;472;315;629;392;793;462;951
119;239;160;323;234;469;315;627;394;792;461;951
118;238;160;331;234;476;310;634;386;795;461;945
118;237;160;326;232;476;308;636;385;794;468;952
118;237;167;326;231;478;308;637;384;786;470;952
119;238;167;326;232;480;308;636;384;794;470;952
118;238;162;323;232;472;308;637;392;787;470;951
119;245;162;323;239;472;315;629;391;794;463;952
118;240;160;331;234;470;315;627;386;794;460;952
126;239;160;323;233;469;315;627;386;794;461;952
126;239;159;324;234;469;316;629;395;792;461;952
118;238;160;324;238;469;315;629;394;792;463;952
118;238;160;323;239;469;316;629;393;792;461;952
119;238;160;324;240;471;316;629;394;792;463;952
118;238;160;324;239;469;315;629;393;793;462;952
119;238;160;324;239;469;315;629;394;792;463;953
118;238;160;324;239;472;316;629;394;792;463;952
119;240;160;323;234;470;315;627;386;794;461;952
125;238;160;331;234;469;310;635;386;794;460;945
118;240;160;331;234;470;310;634;386;794;460;945
119;238;160;331;232;477;310;634;384;794;468;951
121;237;160;325;232;477;308;636;384;794;468;952
118;237;160;325;232;477;308;636;384;794;467;952
120;238;167;326;232;478;308;636;385;794;471;952
118;238;160;323;232;471;308;636;392;787;470;952
119;245;162;323;239;472;315;629;391;792;462;952
119;240;160;324;233;469;316;627;386;794;461;951
126;240;160;323;234;470;315;627;386;794;460;952
126;240;160;323;234;469;315;627;386;794;461;952
126;239;160;324;234;469;318;627;387;794;461;952
125;239;160;323;234;469;315;627;386;794;461;952
126;240;160;324;234;469;315;627;386;795;460;951
126;239;160;324;234;470;316;627;386;794;461;951
125;240;160;323;234;469;315;627;386;794;461;951
126;240;160;323;233;469;316;627;387;794;461;952
126;240;160;323;234;470;315;627;386;794;460;952
126;240;160;324;234;469;315;627;394;792;460;952
119;240;159;323;234;469;315;627;386;794;461;952
126;240;159;324;233;469;316;627;394;792;461;952
118;240;160;323;234;470;316;629;394;793;461;952
118;238;159;324;239;471;315;629;394;792;462;952
118;238;160;323;239;469;315;629;393;792;461;952
119;238;160;323;239;469;316;629;394;792;463;952
118;238;160;324;239;471;316;629;394;792;463;952
118;238;160;323;239;471;315;629;393;792;462;952
118;246;162;323;239;471;308;629;392;794;462;952
118;245;162;324;239;471;309;629;392;787;462;952
118;245;162;324;232;471;308;629;392;786;462;951
119;245;162;323;239;471;309;629;392;787;462;951
119;245;162;324;231;471;308;637;391;787;463;952
119;245;162;324;239;471;308;629;391;787;463;951
119;245;161;324;239;471;308;629;391;787;462;952
118;245;161;324;239;471;308;629;391;787;463;952
119;246;161;324;231;471;308;629;392;787;462;952
118;245;162;324;232;471;308;629;392;787;462;952
118;245;161;323;232;471;308;629;392;786;463;951
118;244;161;324;232;471;308;636;392;787;470;952
118;238;167;326;231;478;308;636;384;787;470;951
119;237;167;325;231;478;308;637;384;786;470;952
119;238;167;326;232;478;308;636;385;787;470;952
119;245;162;324;232;471;308;629;391;786;463;952
118;246;161;324;239;471;316;629;392;794;462;952
119;245;162;323;239;472;308;629;391;787;463;951
119;245;162;324;232;471;308;636;392;787;471;952
119;237;160;324;232;471;308;636;392;786;470;951
119;238;160;326;231;471;308;637;391;786;470;952
119;237;160;323;232;471;308;637;392;787;462;951
119;245;162;323;232;472;308;636;392;787;470;952
118;245;162;324;239;471;309;629;391;787;463;952
118;245;162;323;231;471;308;637;391;786;470;952
119;238;160;325;232;471;308;636;391;786;470;952
119;237;160;323;232;471;308;629;392;786;462;952
118;245;162;324;232;471;308;629;392;787;462;952
118;245;162;324;232;471;308;629;392;787;462;952
119;245;162;324;232;471;308;637;392;787;470;952
119;238;160;324;231;471;308;637;391;787;469;952
119;237;160;326;231;471;308;629;391;787;463;951
119;246;161;324;231;471;308;629;392;787;462;952
118;245;162;323;239;471;308;629;391;787;463;952
119;245;162;324;239;472;308;629;392;787;463;952
119;245;161;323;239;472;308;629;391;787;462;952
119;244;161;323;239;471;308;629;391;786;463;952
119;245;162;323;239;471;308;629;391;787;463;951
119;245;162;324;231;472;308;629;391;786;463;952
119;245;162;324;231;471;308;628;392;787;462;952
118;246;161;324;232;472;308;636;392;787;469;952
118;238;159;324;232;472;308;636;392;787;470;952
118;238;160;323;232;472;308;629;392;787;462;952
118;245;162;324;239;471;308;629;392;787;462;952
118;245;161;324;231;472;308;636;392;787;470;952
118;238;160;324;231;472;308;637;392;787;470;952
119;238;160;324;231;471;308;636;391;787;469;952
118;238;160;324;231;471;308;636;391;787;470;952
118;238;159;324;232;471;308;636;392;787;470;952
118;238;160;324;232;471;308;636;391;786;469;952
119;238;160;324;232;471;308;636;392;787;471;952
119;237;160;324;232;471;308;637;391;787;470;952
118;238;159;325;232;471;308;636;392;787;470;952
119;238;160;323;232;471;308;637;392;787;470;952
118;238;159;326;232;472;308;636;391;787;470;952
118;245;160;324;231;471;308;636;391;787;470;952
118;238;160;324;232;472;308;636;392;787;470;952
118;238;159;326;232;471;308;637;392;787;470;952
118;237;160;324;231;472;308;629;392;787;462;952
118;245;161;324;232;471;308;637;391;787;470;952
118;238;160;326;231;471;308;636;391;787;470;952
119;238;160;324;232;471;308;637;392;787;463;952
118;245;161;324;232;471;309;629;392;787;463;952
119;245;161;324;238;471;308;629;391;787;463;951
119;245;162;323;239;471;308;629;392;787;463;952
118;245;162;323;232;471;308;629;392;786;462;952
119;245;162;324;231;471;308;629;391;787;463;952
118;244;162;324;231;471;308;637;391;787;463;952
118;245;161;323;238;471;308;629;391;787;463;952
119;245;160;323;239;471;316;629;392;792;463;952
119;245;162;323;239;471;315;629;391;794;463;952
119;245;161;324;239;471;308;629;391;786;463;952
119;245;162;323;232;471;308;629;392;787;462;952
