0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
72;149;74;153;75;154;109;222;147;297;219;443;366;740;666;1335;1255;2516
72;149;74;153;75;154;109;222;147;297;220;443;366;739;665;1334;1255;2515
72;149;74;151;75;154;109;222;146;297;220;443;366;739;665;1333;1255;2514
72;149;74;151;75;154;109;222;146;296;220;445;366;738;664;1332;1255;2512
72;149;74;151;75;155;109;222;146;296;221;445;366;737;664;1331;1262;2520
72;149;74;151;76;154;109;222;146;296;221;444;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;220;445;367;737;662;1330;1260;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;741;662;1332;1259;2524
73;149;74;151;75;154;109;224;146;296;219;444;370;740;661;1332;1258;2523
73;150;74;151;75;154;110;224;146;296;219;443;369;739;661;1331;1258;2522
73;150;74;151;75;154;109;222;146;296;219;443;369;739;661;1331;1257;2519
72;149;74;151;75;154;109;222;146;296;219;443;368;738;661;1336;1256;2518
72;149;74;151;75;154;109;222;146;297;219;443;368;740;666;1335;1256;2517
72;149;74;153;75;154;109;222;147;298;219;443;366;740;666;1334;1255;2515
72;149;75;151;75;154;109;222;146;297;220;443;366;739;665;1334;1255;2514
72;149;74;151;75;154;109;222;146;296;220;443;366;738;664;1332;1255;2513
72;149;74;151;75;155;109;222;146;296;220;445;366;737;664;1331;1255;2521
72;149;74;151;75;155;109;222;146;296;221;444;366;737;663;1331;1261;2520
72;149;74;151;75;154;109;222;146;296;221;445;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;737;662;1333;1260;2525
73;149;74;151;75;154;109;224;146;296;219;444;367;740;661;1332;1258;2524
73;149;74;151;75;154;110;224;146;296;219;443;369;740;661;1331;1258;2522
73;150;74;151;75;154;109;224;146;296;219;443;369;739;661;1331;1257;2521
74;149;74;151;75;154;109;222;146;296;219;443;368;739;661;1330;1256;2518
72;149;74;151;75;154;109;222;146;298;219;443;368;741;661;1335;1256;2517
72;149;74;153;75;154;109;222;147;297;219;443;366;740;666;1335;1255;2516
72;149;74;153;75;154;109;222;147;297;220;443;366;739;665;1334;1255;2515
72;149;74;151;75;154;109;222;146;297;220;443;366;739;665;1333;1255;2514
72;149;74;151;75;154;109;222;146;296;220;445;366;738;664;1332;1255;2512
72;149;74;151;75;155;109;222;146;296;221;445;366;737;664;1331;1262;2520
72;149;74;151;76;154;109;222;146;296;221;444;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;220;445;367;737;662;1330;1260;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;741;662;1332;1259;2524
73;149;74;151;75;154;109;224;146;296;219;444;370;740;661;1332;1258;2523
73;150;74;151;75;154;110;224;146;296;219;443;369;739;661;1331;1258;2522
73;150;74;151;75;154;109;222;146;296;219;443;369;739;661;1331;1257;2519
72;149;74;151;75;154;109;222;146;296;219;443;368;738;661;1336;1256;2518
72;149;74;151;75;154;109;222;146;297;219;443;368;740;666;1335;1256;2517
72;149;74;153;75;154;109;222;147;298;219;443;366;740;666;1334;1255;2515
72;149;75;151;75;154;109;222;146;297;220;443;366;739;665;1334;1255;2514
72;149;74;151;75;154;109;222;146;296;220;443;366;738;664;1332;1255;2513
72;149;74;151;75;155;109;222;146;296;220;445;366;737;664;1331;1255;2521
72;149;74;151;75;155;109;222;146;296;221;444;366;737;663;1331;1261;2520
72;149;74;151;75;154;109;222;146;296;221;445;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;737;662;1333;1260;2525
73;149;74;151;75;154;109;224;146;296;219;444;367;740;661;1332;1258;2524
73;149;74;151;75;154;110;224;146;296;219;443;369;740;661;1331;1258;2522
73;150;74;151;75;154;109;224;146;296;219;443;369;739;661;1331;1257;2521
74;149;74;151;75;154;109;222;146;296;219;443;368;739;661;1330;1256;2518
72;149;74;151;75;154;109;222;146;298;219;443;368;741;661;1335;1256;2517
72;149;74;153;75;154;109;222;147;297;219;443;366;740;666;1335;1255;2516
72;149;74;153;75;154;109;222;147;297;220;443;366;739;665;1334;1255;2515
72;149;74;151;75;154;109;222;146;297;220;443;366;739;665;1333;1255;2514
72;149;74;151;75;154;109;222;146;296;220;445;366;738;664;1332;1255;2512
72;149;74;151;75;155;109;222;146;296;221;445;366;737;664;1331;1262;2520
72;149;74;151;76;154;109;222;146;296;221;444;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;220;445;367;737;662;1330;1260;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;741;662;1332;1259;2524
73;149;74;151;75;154;109;224;146;296;219;444;370;740;661;1332;1258;2523
73;150;74;151;75;154;110;224;146;296;219;443;369;739;661;1331;1258;2522
73;150;74;151;75;154;109;222;146;296;219;443;369;739;661;1331;1257;2519
72;149;74;151;75;154;109;222;146;296;219;443;368;738;661;1336;1256;2518
72;149;74;151;75;154;109;222;146;297;219;443;368;740;666;1335;1256;2517
72;149;74;153;75;154;109;222;147;298;219;443;366;740;666;1334;1255;2515
72;149;75;151;75;154;109;222;146;297;220;443;366;739;665;1334;1255;2514
72;149;74;151;75;154;109;222;146;296;220;443;366;738;664;1332;1255;2513
72;149;74;151;75;155;109;222;146;296;220;445;366;737;664;1331;1255;2521
72;149;74;151;75;155;109;222;146;296;221;444;366;737;663;1331;1261;2520
72;149;74;151;75;154;109;222;146;296;221;445;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;737;662;1333;1260;2525
73;149;74;151;75;154;109;224;146;296;219;444;367;740;661;1332;1258;2524
73;149;74;151;75;154;110;224;146;296;219;443;369;740;661;1331;1258;2522
73;150;74;151;75;154;109;224;146;296;219;443;369;739;661;1331;1257;2521
74;149;74;151;75;154;109;222;146;296;219;443;368;739;661;1330;1256;2518
72;149;74;151;75;154;109;222;146;298;219;443;368;741;661;1335;1256;2517
72;149;74;153;75;154;109;222;147;297;219;443;366;740;666;1335;1255;2516
72;149;74;153;75;154;109;222;147;297;220;443;366;739;665;1334;1255;2515
72;149;74;151;75;154;109;222;146;297;220;443;366;739;665;1333;1255;2514
72;149;74;151;75;154;109;222;146;296;220;445;366;738;664;1332;1255;2512
72;149;74;151;75;155;109;222;146;296;221;445;366;737;664;1331;1262;2520
72;149;74;151;76;154;109;222;146;296;221;444;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;220;445;367;737;662;1330;1260;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;741;662;1332;1259;2524
73;149;74;151;75;154;109;224;146;296;219;444;370;740;661;1332;1258;2523
73;150;74;151;75;154;110;224;146;296;219;443;369;739;661;1331;1258;2522
73;150;74;151;75;154;109;222;146;296;219;443;369;739;661;1331;1257;2519
72;149;74;151;75;154;109;222;146;296;219;443;368;738;661;1336;1256;2518
72;149;74;151;75;154;109;222;146;297;219;443;368;740;666;1335;1256;2517
72;149;74;153;75;154;109;222;147;298;219;443;366;740;666;1334;1255;2515
72;149;75;151;75;154;109;222;146;297;220;443;366;739;665;1334;1255;2514
72;149;74;151;75;154;109;222;146;296;220;443;366;738;664;1332;1255;2513
72;149;74;151;75;155;109;222;146;296;220;445;366;737;664;1331;1255;2521
72;149;74;151;75;155;109;222;146;296;221;444;366;737;663;1331;1261;2520
72;149;74;151;75;154;109;222;146;296;221;445;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;737;662;1333;1260;2525
73;149;74;151;75;154;109;224;146;296;219;444;367;740;661;1332;1258;2524
73;149;74;151;75;154;110;224;146;296;219;443;369;740;661;1331;1258;2522
73;150;74;151;75;154;109;224;146;296;219;443;369;739;661;1331;1257;2521
74;149;74;151;75;154;109;222;146;296;219;443;368;739;661;1330;1256;2518
72;149;74;151;75;154;109;222;146;298;219;443;368;741;661;1335;1256;2517
72;149;74;153;75;154;109;222;147;297;219;443;366;740;666;1335;1255;2516
72;149;74;153;75;154;109;222;147;297;220;443;366;739;665;1334;1255;2515
72;149;74;151;75;154;109;222;146;297;220;443;366;739;665;1333;1255;2514
72;149;74;151;75;154;109;222;146;296;220;445;366;738;664;1332;1255;2512
72;149;74;151;75;155;109;222;146;296;221;445;366;737;664;1331;1262;2520
72;149;74;151;76;154;109;222;146;296;221;444;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;220;445;367;737;662;1330;1260;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;741;662;1332;1259;2524
73;149;74;151;75;154;109;224;146;296;219;444;370;740;661;1332;1258;2523
73;150;74;151;75;154;110;224;146;296;219;443;369;739;661;1331;1258;2522
73;150;74;151;75;154;109;222;146;296;219;443;369;739;661;1331;1257;2519
72;149;74;151;75;154;109;222;146;296;219;443;368;738;661;1336;1256;2518
72;149;74;151;75;154;109;222;146;297;219;443;368;740;666;1335;1256;2517
72;149;74;153;75;154;109;222;147;298;219;443;366;740;666;1334;1255;2515
72;149;75;151;75;154;109;222;146;297;220;443;366;739;665;1334;1255;2514
72;149;74;151;75;154;109;222;146;296;220;443;366;738;664;1332;1255;2513
72;149;74;151;75;155;109;222;146;296;220;445;366;737;664;1331;1255;2521
72;149;74;151;75;155;109;222;146;296;221;444;366;737;663;1331;1261;2520
72;149;74;151;75;154;109;222;146;296;221;445;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;737;662;1333;1260;2525
73;149;74;151;75;154;109;224;146;296;219;444;367;740;661;1332;1258;2524
73;149;74;151;75;154;110;224;146;296;219;443;369;740;661;1331;1258;2522
73;150;74;151;75;154;109;224;146;296;219;443;369;739;661;1331;1257;2521
74;149;74;151;75;154;109;222;146;296;219;443;368;739;661;1330;1256;2518
72;149;74;151;75;154;109;222;146;298;219;443;368;741;661;1335;1256;2517
72;149;74;153;75;154;109;222;147;297;219;443;366;740;666;1335;1255;2516
72;149;74;153;75;154;109;222;147;297;220;443;366;739;665;1334;1255;2515
72;149;74;151;75;154;109;222;146;297;220;443;366;739;665;1333;1255;2514
72;149;74;151;75;154;109;222;146;296;220;445;366;738;664;1332;1255;2512
72;149;74;151;75;155;109;222;146;296;221;445;366;737;664;1331;1262;2520
72;149;74;151;76;154;109;222;146;296;221;444;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;220;445;367;737;662;1330;1260;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;741;662;1332;1259;2524
73;149;74;151;75;154;109;224;146;296;219;444;370;740;661;1332;1258;2523
73;150;74;151;75;154;110;224;146;296;219;443;369;739;661;1331;1258;2522
73;150;74;151;75;154;109;222;146;296;219;443;369;739;661;1331;1257;2519
72;149;74;151;75;154;109;222;146;296;219;443;368;738;661;1336;1256;2518
72;149;74;151;75;154;109;222;146;297;219;443;368;740;666;1335;1256;2517
72;149;74;153;75;154;109;222;147;298;219;443;366;740;666;1334;1255;2515
72;149;75;151;75;154;109;222;146;297;220;443;366;739;665;1334;1255;2514
72;149;74;151;75;154;109;222;146;296;220;443;366;738;664;1332;1255;2513
72;149;74;151;75;155;109;222;146;296;220;445;366;737;664;1331;1255;2521
72;149;74;151;75;155;109;222;146;296;221;444;366;737;663;1331;1261;2520
72;149;74;151;75;154;109;222;146;296;221;445;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;737;662;1333;1260;2525
73;149;74;151;75;154;109;224;146;296;219;444;367;740;661;1332;1258;2524
73;149;74;151;75;154;110;224;146;296;219;443;369;740;661;1331;1258;2522
73;150;74;151;75;154;109;224;146;296;219;443;369;739;661;1331;1257;2521
74;149;74;151;75;154;109;222;146;296;219;443;368;739;661;1330;1256;2518
72;149;74;151;75;154;109;222;146;298;219;443;368;741;661;1335;1256;2517
72;149;74;153;75;154;109;222;147;297;219;443;366;740;666;1335;1255;2516
72;149;74;153;75;154;109;222;147;297;220;443;366;739;665;1334;1255;2515
72;149;74;151;75;154;109;222;146;297;220;443;366;739;665;1333;1255;2514
72;149;74;151;75;154;109;222;146;296;220;445;366;738;664;1332;1255;2512
72;149;74;151;75;155;109;222;146;296;221;445;366;737;664;1331;1262;2520
72;149;74;151;76;154;109;222;146;296;221;444;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;220;445;367;737;662;1330;1260;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;741;662;1332;1259;2524
73;149;74;151;75;154;109;224;146;296;219;444;370;740;661;1332;1258;2523
73;150;74;151;75;154;110;224;146;296;219;443;369;739;661;1331;1258;2522
73;150;74;151;75;154;109;222;146;296;219;443;369;739;661;1331;1257;2519
72;149;74;151;75;154;109;222;146;296;219;443;368;738;661;1336;1256;2518
72;149;74;151;75;154;109;222;146;297;219;443;368;740;666;1335;1256;2517
72;149;74;153;75;154;109;222;147;298;219;443;366;740;666;1334;1255;2515
72;149;75;151;75;154;109;222;146;297;220;443;366;739;665;1334;1255;2514
72;149;74;151;75;154;109;222;146;296;220;443;366;738;664;1332;1255;2513
72;149;74;151;75;155;109;222;146;296;220;445;366;737;664;1331;1255;2521
72;149;74;151;75;155;109;222;146;296;221;444;366;737;663;1331;1261;2520
72;149;74;151;75;154;109;222;146;296;221;445;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;737;662;1333;1260;2525
73;149;74;151;75;154;109;224;146;296;219;444;367;740;661;1332;1258;2524
73;149;74;151;75;154;110;224;146;296;219;443;369;740;661;1331;1258;2522
73;150;74;151;75;154;109;224;146;296;219;443;369;739;661;1331;1257;2521
74;149;74;151;75;154;109;222;146;296;219;443;368;739;661;1330;1256;2518
72;149;74;151;75;154;109;222;146;298;219;443;368;741;661;1335;1256;2517
72;149;74;153;75;154;109;222;147;297;219;443;366;740;666;1335;1255;2516
72;149;74;153;75;154;109;222;147;297;220;443;366;739;665;1334;1255;2515
72;149;74;151;75;154;109;222;146;297;220;443;366;739;665;1333;1255;2514
72;149;74;151;75;154;109;222;146;296;220;445;366;738;664;1332;1255;2512
72;149;74;151;75;155;109;222;146;296;221;445;366;737;664;1331;1262;2520
72;149;74;151;76;154;109;222;146;296;221;444;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;220;445;367;737;662;1330;1260;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;741;662;1332;1259;2524
73;149;74;151;75;154;109;224;146;296;219;444;370;740;661;1332;1258;2523
73;150;74;151;75;154;110;224;146;296;219;443;369;739;661;1331;1258;2522
73;150;74;151;75;154;109;222;146;296;219;443;369;739;661;1331;1257;2519
72;149;74;151;75;154;109;222;146;296;219;443;368;738;661;1336;1256;2518
72;149;74;151;75;154;109;222;146;297;219;443;368;740;666;1335;1256;2517
72;149;74;153;75;154;109;222;147;298;219;443;366;740;666;1334;1255;2515
72;149;75;151;75;154;109;222;146;297;220;443;366;739;665;1334;1255;2514
72;149;74;151;75;154;109;222;146;296;220;443;366;738;664;1332;1255;2513
72;149;74;151;75;155;109;222;146;296;220;445;366;737;664;1331;1255;2521
72;149;74;151;75;155;109;222;146;296;221;444;366;737;663;1331;1261;2520
72;149;74;151;75;154;109;222;146;296;221;445;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;737;662;1333;1260;2525
73;149;74;151;75;154;109;224;146;296;219;444;367;740;661;1332;1258;2524
73;149;74;151;75;154;110;224;146;296;219;443;369;740;661;1331;1258;2522
73;150;74;151;75;154;109;224;146;296;219;443;369;739;661;1331;1257;2521
74;149;74;151;75;154;109;222;146;296;219;443;368;739;661;1330;1256;2518
72;149;74;151;75;154;109;222;146;298;219;443;368;741;661;1335;1256;2517
72;149;74;153;75;154;109;222;147;297;219;443;366;740;666;1335;1255;2516
72;149;74;153;75;154;109;222;147;297;220;443;366;739;665;1334;1255;2515
72;149;74;151;75;154;109;222;146;297;220;443;366;739;665;1333;1255;2514
72;149;74;151;75;154;109;222;146;296;220;445;366;738;664;1332;1255;2512
72;149;74;151;75;155;109;222;146;296;221;445;366;737;664;1331;1262;2520
72;149;74;151;76;154;109;222;146;296;221;444;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;220;445;367;737;662;1330;1260;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;741;662;1332;1259;2524
73;149;74;151;75;154;109;224;146;296;219;444;370;740;661;1332;1258;2523
73;150;74;151;75;154;110;224;146;296;219;443;369;739;661;1331;1258;2522
73;150;74;151;75;154;109;222;146;296;219;443;369;739;661;1331;1257;2519
72;149;74;151;75;154;109;222;146;296;219;443;368;738;661;1336;1256;2518
72;149;74;151;75;154;109;222;146;297;219;443;368;740;666;1335;1256;2517
72;149;74;153;75;154;109;222;147;298;219;443;366;740;666;1334;1255;2515
72;149;75;151;75;154;109;222;146;297;220;443;366;739;665;1334;1255;2514
72;149;74;151;75;154;109;222;146;296;220;443;366;738;664;1332;1255;2513
72;149;74;151;75;155;109;222;146;296;220;445;366;737;664;1331;1255;2521
72;149;74;151;75;155;109;222;146;296;221;444;366;737;663;1331;1261;2520
72;149;74;151;75;154;109;222;146;296;221;445;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;737;662;1333;1260;2525
73;149;74;151;75;154;109;224;146;296;219;444;367;740;661;1332;1258;2524
73;149;74;151;75;154;110;224;146;296;219;443;369;740;661;1331;1258;2522
73;150;74;151;75;154;109;224;146;296;219;443;369;739;661;1331;1257;2521
74;149;74;151;75;154;109;222;146;296;219;443;368;739;661;1330;1256;2518
72;149;74;151;75;154;109;222;146;298;219;443;368;741;661;1335;1256;2517
72;149;74;153;75;154;109;222;147;297;219;443;366;740;666;1335;1255;2516
72;149;74;153;75;154;109;222;147;297;220;443;366;739;665;1334;1255;2515
72;149;74;151;75;154;109;222;146;297;220;443;366;739;665;1333;1255;2514
72;149;74;151;75;154;109;222;146;296;220;445;366;738;664;1332;1255;2512
72;149;74;151;75;155;109;222;146;296;221;445;366;737;664;1331;1262;2520
72;149;74;151;76;154;109;222;146;296;221;444;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;220;445;367;737;662;1330;1260;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;741;662;1332;1259;2524
73;149;74;151;75;154;109;224;146;296;219;444;370;740;661;1332;1258;2523
73;150;74;151;75;154;110;224;146;296;219;443;369;739;661;1331;1258;2522
73;150;74;151;75;154;109;222;146;296;219;443;369;739;661;1331;1257;2519
72;149;74;151;75;154;109;222;146;296;219;443;368;738;661;1336;1256;2518
72;149;74;151;75;154;109;222;146;297;219;443;368;740;666;1335;1256;2517
72;149;74;153;75;154;109;222;147;298;219;443;366;740;666;1334;1255;2515
72;149;75;151;75;154;109;222;146;297;220;443;366;739;665;1334;1255;2514
72;149;74;151;75;154;109;222;146;296;220;443;366;738;664;1332;1255;2513
72;149;74;151;75;155;109;222;146;296;220;445;366;737;664;1331;1255;2521
72;149;74;151;75;155;109;222;146;296;221;444;366;737;663;1331;1261;2520
72;149;74;151;75;154;109;222;146;296;221;445;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;737;662;1333;1260;2525
73;149;74;151;75;154;109;224;146;296;219;444;367;740;661;1332;1258;2524
73;149;74;151;75;154;110;224;146;296;219;443;369;740;661;1331;1258;2522
73;150;74;151;75;154;109;224;146;296;219;443;369;739;661;1331;1257;2521
74;149;74;151;75;154;109;222;146;296;219;443;368;739;661;1330;1256;2518
72;149;74;151;75;154;109;222;146;298;219;443;368;741;661;1335;1256;2517
72;149;74;153;75;154;109;222;147;297;219;443;366;740;666;1335;1255;2516
72;149;74;153;75;154;109;222;147;297;220;443;366;739;665;1334;1255;2515
72;149;74;151;75;154;109;222;146;297;220;443;366;739;665;1333;1255;2514
72;149;74;151;75;154;109;222;146;296;220;445;366;738;664;1332;1255;2512
72;149;74;151;75;155;109;222;146;296;221;445;366;737;664;1331;1262;2520
72;149;74;151;76;154;109;222;146;296;221;444;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;220;445;367;737;662;1330;1260;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;741;662;1332;1259;2524
73;149;74;151;75;154;109;224;146;296;219;444;370;740;661;1332;1258;2523
73;150;74;151;75;154;110;224;146;296;219;443;369;739;661;1331;1258;2522
73;150;74;151;75;154;109;222;146;296;219;443;369;739;661;1331;1257;2519
72;149;74;151;75;154;109;222;146;296;219;443;368;738;661;1336;1256;2518
72;149;74;151;75;154;109;222;146;297;219;443;368;740;666;1335;1256;2517
72;149;74;153;75;154;109;222;147;298;219;443;366;740;666;1334;1255;2515
72;149;75;151;75;154;109;222;146;297;220;443;366;739;665;1334;1255;2514
72;149;74;151;75;154;109;222;146;296;220;443;366;738;664;1332;1255;2513
72;149;74;151;75;155;109;222;146;296;220;445;366;737;664;1331;1255;2521
72;149;74;151;75;155;109;222;146;296;221;444;366;737;663;1331;1261;2520
72;149;74;151;75;154;109;222;146;296;221;445;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;737;662;1333;1260;2525
73;149;74;151;75;154;109;224;146;296;219;444;367;740;661;1332;1258;2524
73;149;74;151;75;154;110;224;146;296;219;443;369;740;661;1331;1258;2522
73;150;74;151;75;154;109;224;146;296;219;443;369;739;661;1331;1257;2521
74;149;74;151;75;154;109;222;146;296;219;443;368;739;661;1330;1256;2518
72;149;74;151;75;154;109;222;146;298;219;443;368;741;661;1335;1256;2517
72;149;74;153;75;154;109;222;147;297;219;443;366;740;666;1335;1255;2516
72;149;74;153;75;154;109;222;147;297;220;443;366;739;665;1334;1255;2515
72;149;74;151;75;154;109;222;146;297;220;443;366;739;665;1333;1255;2514
72;149;74;151;75;154;109;222;146;296;220;445;366;738;664;1332;1255;2512
72;149;74;151;75;155;109;222;146;296;221;445;366;737;664;1331;1262;2520
72;149;74;151;76;154;109;222;146;296;221;444;367;737;663;1330;1261;2519
72;149;74;151;75;154;109;222;146;296;220;445;367;737;662;1330;1260;2519
72;149;74;151;75;154;109;222;146;296;219;445;367;741;662;1332;1259;2524
73;149;74;151;75;154;109;224;146;296;219;444;370;740;661;1332;1258;2523
73;150;74;151;75;154;110;224;146;296;219;443;369;739;661;1331;1258;2522
73;150;74;151;75;154;109;222;146;296;219;443;369;739;661;1331;1257;2519
72;149;74;151;75;154;109;222;146;296;219;443;368;738;661;1336;1256;2518
72;149;74;151;75;154;109;222;146;297;219;443;368;740;666;1335;1256;2517
72;149;74;153;75;154;109;222;147;298;219;443;366;740;666;1334;1255;2515
72;149;75;151;75;154;109;222;146;297;220;443;366;739;665;1334;1255;2514
